Angle (radians)	Energy (kcal/mol)
0	0.00000000E+00
0.17453293	7.39601554E-02
0.34906585	2.56835256E-01
0.52359878	4.92173291E-01
0.6981317	7.23895617E-01
0.87266463	9.07564517E-01
1.04719755	1.01215781E+00
1.22173048	1.01861927E+00
1.3962634	9.27811740E-01
1.57079633	7.53283772E-01
1.74532925	5.25851728E-01
1.91986218	2.87839247E-01
2.0943951	9.42876989E-02
2.26892803	1.73004377E-03
2.44346095	6.64087058E-02
2.61799388	3.36309338E-01
2.7925268	8.37417110E-01
2.96705973	1.57241714E+00
3.14159265	2.51453609E+00
3.31612558	3.60534407E+00
3.4906585	4.76265801E+00
3.66519143	5.88347849E+00
3.83972435	6.85879773E+00
4.01425728	7.58676085E+00
4.1887902	7.98633633E+00
4.36332313	8.01308580E+00
4.53785606	7.66357366E+00
4.71238898	6.97745664E+00
4.88692191	6.03071293E+00
5.06145483	4.92369701E+00
5.23598776	3.76509419E+00
5.41052068	2.65938537E+00
5.58505361	1.69244904E+00
5.75958653	9.26278107E-01
5.93411946	3.91958764E-01
6.10865238	9.08834598E-02
6.28318531	1.46837246E-04
