// rate library for f02: Radical addition to multiple bond
// original from rate_library_4.txt, Cath, 03/07/28

// JS, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

//f02_Radical_Addition
//No.		XZ				Y_rad			Temp.		A			N		a	E0		DA		Dn		Da	DE0		Rank	Comments
269.		XZ				Y_rad_birad		300-1500	1E+13		0		0	0.5		0		0		0	0		0		Default
281.		Cd/H2			H_rad			300-1500	1E+13		0		0	1.2		0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
282.		Cd/H/Nd			H_rad			300-1500	1E+13		0		0	2.9		0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
283.		Cd/Nd2			H_rad			300-1500	1E+13		0		0	2.9		0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
284.		Cd/H2			Cs_rad			300-1500	8.5E+10		0		0	7.8		0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
285.		Cd/H/Nd			Cs_rad			300-1500	8.5E+10		0		0	10.6	0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
286.		Cd/Nd2			Cs_rad			300-1500	8.5E+10		0		0	10.6	0		0		0	0		5		Curran et al. [8] in his reaction type 3. Based on recommendations of Allara and Shaw [146] 
287.		Cd/H2			O_rad/NonDe		300-1500	1.0E+11		0		0	12.5	0		0		0	0		5		Curran et al. [8] in his reaction type 20. Based on recommendations of Chen and Bozzelli [57] 
288.		Cd/H/Nd			O_rad/NonDe		300-1500	1.0E+11		0		0	11.0	0		0		0	0		5		Curran et al. [8] in his reaction type 20. Based on recommendations of Chen and Bozzelli [57]
289.		Cd/Nd2			O_rad/NonDe		300-1500	1.0E+11		0		0	7.6		0		0		0	0		5		Curran et al. [8] in his reaction type 20. Based on recommendations of Chen and Bozzelli [57] 
290.		Cd/H2_Cd/H2		H_rad			200-1100	1.985E+09	1.28	0	1.29	*2.0		0		0	0		4		Baulch et al. [94] literature review.
291.		Cd/H2_Cd/H2		C_methyl		300-2500	1.655E+11	0		0	7.71	*1.3		0		0	0		4		Tsang et al. [89] literature review.
292.		Cd/H2_Cd/H2		C_rad/H2/Cs		298-1500	1.99E+03	2.44	0	5.37	0		0		0	0		2		Knyazev et al. [147]
293.		Cd/H2_Cd/H2		C_rad/H2/O		300-2500	2.41E+10	0		0	6.96	*5.0		0		0	0		4		Tsang et al. [90] literature review.
294.		Cd/H2_Cd/H2		Cd_pri_rad		1260-1310	1.0E+11		0		0	2.01	0		0		0	0		5		Weissman and Benson [148] Estimated values.
295.		Cd/H2_Cd/H2		O_pri_rad		300-1500	2.71E+12	0		0	0		0		0		0	0		4		Tsang et al. [89] literature review.
296.		Cd/H2_Cd/H/Nd	H_rad			500-2500	1.3E+13		0		0	1.56	0		0		0	0		4		Tsang [149] experiments and limited review. 
297.		Cd/H2_Cd/H/Nd	C_methyl		298-1500	1.28E+05	2.28	0	6.60	0		0		0	0		4		Knyazev et al. [150]
298.		Cd/H2_Cd/H/Nd	C_methyl		300-2500	1.69E+11	0		0	7.41	*1.4		0		0	0		4		Tsang [93] literature review.
