
// rate library for f06: radical recombination
// Originally from rate_library_4.txt, Cath, 03/07/28

// jing, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

// Catherina Wijaya thesis pg 156
//f06_radical_recombination

//No.		Y_rad			Y_rad			Temp.		A			n	a		E0		DA		Dn		Da		DE0		Rank	Comments
//441.		C_methyl		C_rad/Cs3		300-2500	1.63E+13	0		0		-0.60	*2.0	0		0		0		4	Tsang [92] literature review.
//487.		O2_birad		Ct_rad			300-1500	3.0E+12	0	0	0	0		0	0	0	0	estimated to be the same as Cd_pri_rad + O2.


//#  Group1             Group2                TempRange         A        n    alpha       E0       DA       Dn   Dalpha      DE0  Rank  Comment
0    Y_rad                Y_rad                  300-1500     1e+13        0        0        0        0        0        0        0  0     Default
1    H_rad                H_rad                  278-372   1.09e+11        0        0      1.5        0        0        0        0  5     Dingle et al. [167]
2    H_rad                C_methyl               300-2000  1.93e+14        0        0     0.27        0        0        0        0  3     Takahashi et al. [168] Transition state theory.
3    H_rad                C_methyl               300-1000  2.11e+14        0        0        0       *2        0        0        0  4     Baulch et al. [94] literature review.
4    H_rad                C_rad/H2/Cs               298       1e+14        0        0        0    1e+13        0        0        0  5     Sillensen et al [169]
5    H_rad                C_rad/H/NonDeC         300-2000     2e+13        0        0        0    *3.16        0        0        0  4     Warnatz [134] literature review.
6    H_rad                C_rad/H/NonDeC            298     1.5e+14        0        0        0    3e+13        0        0        0  5     Munk et al. [170]
7    H_rad                Cd_pri_rad                298    1.21e+14        0        0        0 4.82e+13        0        0        0  3     Fahr et al. [171]
8    H_rad                Cd_pri_rad             700-1300  5.36e+14        0        0     0.98        0        0        0        0  3     Duran et al. [165]
9    H_rad                Ct_rad                 300-2500  1.81e+14        0        0        0       *3        0        0        0  4     Tsang [89] literature review.
10   H_rad                Cb_rad                 300-1200   2.2e+14        0        0        0    8e+13        0        0        0  3     Davis et al. [172] Ackermann et al. [173] Emdee et al. [172b]
11   H_rad                CO_pri_rad            1500-1900  4.68e+10        0        0    -4.53        0        0        0        0  4     Tsuboi et al. [174]
12   H_rad                O_pri_rad              300-2100  1.62e+14        0        0     0.15        0        0        0        0  3     Cobos et al. [106]
13   C_methyl             C_methyl               300-2000  8.26e+17     -1.4        0        1        0        0        0        0  3     Pesa et al. [175]
14   C_methyl             C_methyl               300-2000  3.61e+13        0        0        0       *2        0        0        0  4     Baulch et al. [94] literature review.
15   C_methyl             C_rad/H2/Cs            300-2000  3.37e+13        0        0        0       *2        0        0        0  4     Baulch et al. [94] literature review.
16   C_methyl             C_rad/H/NonDeC         713-1800  6.64e+14    -0.57        0        0        0        0        0        0  4     Tsang [176] RRK(M) extrapolation.
17   C_methyl             C_rad/Cs3              300-2500  4.88e+15       -1        0        0       *2        0        0        0  4     Tsang [92] literature review.
18   C_methyl             Cd_pri_rad                298    7.23e+13        0        0        0 1.81e+13        0        0        0  3     Fahr et al. [171]
19   C_methyl             Cb_rad                 300-980   1.38e+13        0        0    0.046    8e+11        0        0    0.072  3     Tokmakov et al. [177]
20   C_methyl             Cb_rad                 424-972   1.39e+13        0        0     0.03    7e+11        0        0     0.07  3     Park et al. [178]
21   C_methyl             CO_pri_rad             300-2500  1.81e+13        0        0        0       *2        0        0        0  4     Tsang [89] literature review.
22   C_methyl             CO_rad/NonDe              298     4.2e+13        0        0        0  8.4e+12        0        0        0  4     Hassinen et al [179]
23   C_methyl             CO_rad/NonDe           300-2500  4.04e+15     -0.8        0        0     *1.5        0        0        0  4     Tsang [89] literature review.
24   C_methyl             O_pri_rad              300-2000  6.03e+13        0        0        0       *2        0        0        0  4     Baulch et al. [94] literature review.
25   C_methyl             O_rad/NonDe            300-2500  1.21e+13        0        0        0       *5        0        0        0  4     Tsang [89] literature review.
