
CH3	       35.25       46.44        9.36       10.11       10.85       11.55       12.86       14.03       16.21  0.0  0.0  0.0 

HOOH	      -32.55       55.78        9.90       10.83       11.73       12.50       13.72       14.66       16.28  0.0  0.0  0.0 

CH2O	      -26.22       52.16        8.44        9.33       10.38       11.42       13.25       14.69       16.90  0.0  0.0  0.0 

CH3O	        4.87       54.42        9.87       11.64       13.32       14.81       17.21       19.04       21.89  0.0  0.0  0.0 

CH2OH	       -3.84       58.19       11.45       12.96       14.32       15.46       17.23       18.59       20.93  0.0  0.0  0.0 

CH3OH	      -48.47       57.18       10.59       12.35       14.25       16.01       18.95       21.25       25.02  0.0  0.0  0.0 

HOCO	      -44.11       60.19       11.25       12.80       13.96       14.84       16.08       16.88       17.91  0.0  0.0  0.0 

formyloxy	      -29.51       59.94        9.81       11.32       12.68       13.78       15.39       16.47       17.98  0.0  0.0  0.0 

CH3OO	        3.82       64.41       12.08       14.18       16.24       18.05       20.90       23.01       26.26  0.0  0.0  0.0 

formylperoxyl	      -24.80       66.19       14.25       16.54       18.30       19.62       21.42       22.50       23.78  0.0  0.0  0.0 

OCHCH2CH2OOH	      -60.73       89.68       29.40       33.27       36.95       40.23       45.51       49.44       55.47  0.0  0.0  0.0 

CH3COCH2OOH	      -67.94       85.82       28.37       33.77       38.22       41.77       46.97       50.61       56.09  0.0  0.0  0.0 

cC2H3OCH2OOH	      -39.31       80.91       28.90       34.87       39.57       43.17       48.19       51.59       56.80  0.0  0.0  0.0 

HCO	       10.08       53.51        8.25        8.68        9.18        9.68       10.60       11.34       12.47  0.0  0.0  0.0 

formic_acid	      -90.87       59.46       11.02       13.15       15.14       16.85       19.42       21.14       23.32  0.0  0.0  0.0 

CH3OOH	      -30.39       67.11       14.62       17.11       19.40       21.37       24.47       26.79       30.47  0.0  0.0  0.0 

CH3CH2OCH2	       -6.92       76.06       21.44       25.70       29.73       33.23       38.79       42.95       49.45  0.0  0.0  0.0 

CH2CH2OCH3	       -0.95       77.59       21.21       25.30       29.20       32.66       38.26       42.51       49.21  0.0  0.0  0.0 

CH3CHOCH3	       -8.27       75.54       21.48       25.80       29.73       33.09       38.46       42.58       49.16  0.0  0.0  0.0 

npropoxy	       -7.25      106.11       21.20       25.72       29.85       33.41       39.13       43.44       50.19  0.0  0.0  0.0 

CH3CH2CHOH	      -17.02       78.74       21.22       25.67       29.69       33.11       38.51       42.57       49.06  0.0  0.0  0.0 

CH3CHOHCH2	      -14.14       76.56       22.67       26.97       30.74       33.91       38.93       42.77       49.05  0.0  0.0  0.0 

CH3COHCH3	      -22.33       74.56       21.77       26.05       29.95       33.30       38.64       42.68       49.13  0.0  0.0  0.0 

ipropoxy	       -9.85       72.53       20.83       25.56       29.74       33.30       38.96       43.24       50.00  0.0  0.0  0.0 

CH2CH2CH2OH	      -10.97       79.48       22.04       26.17       30.07       33.41       38.68       42.66       49.06  0.0  0.0  0.0 

CH3CHCH2OH	      -13.23       80.42       21.04       25.11       28.98       32.38       37.87       42.05       48.76  0.0  0.0  0.0 

C3H8	      -24.27       66.07       17.76       22.39       26.70       30.47       36.60       41.32       48.85  0.0  0.0  0.0 

CH2CCO	       33.02       66.05       15.09       17.26       19.13       20.72       23.23       25.10       27.95  0.0  0.0  0.0 

propynal	       33.48       65.54       15.10       17.48       19.41       20.99       23.45       25.24       27.98  0.0  0.0  0.0 

oxirane	      -12.07       57.94       11.43       14.85       17.98       20.59       24.54       27.39       31.72  0.0  0.0  0.0 

ethenol	      -29.12       62.18       15.02       18.07       20.54       22.51       25.45       27.61       31.14  0.0  0.0  0.0 

CH3CHO	      -39.24       62.99       12.97       15.48       17.95       20.18       23.83       26.59       30.87  0.0  0.0  0.0 

CH3CH2O	       -2.66       66.84       15.80       18.82       21.65       24.13       28.15       31.21       36.01  0.0  0.0  0.0 

CH3OCH2	        0.73       67.32       15.53       18.29       21.02       23.46       27.41       30.39       35.08  0.0  0.0  0.0 

CH2CH2OH	       -5.79       69.42       16.84       19.49       21.95       24.11       27.60       30.31       34.79  0.0  0.0  0.0 

CH3CHOH	      -12.92       68.09       15.82       18.76       21.49       23.84       27.55       30.36       34.89  0.0  0.0  0.0 

C2H3O2	       28.07       68.05       16.80       20.06       22.70       24.76       27.69       29.68       32.63  0.0  0.0  0.0 

CHCHOOH	       54.77       74.80       18.50       21.01       23.09       24.72       27.09       28.79       31.50  0.0  0.0  0.0 

OCH2CHO	      -18.04       70.09       15.74       19.02       21.80       24.02       27.24       29.44       32.62  0.0  0.0  0.0 

CH2OCOH	      -37.47       70.12       17.17       20.16       22.87       25.13       28.42       30.56       33.29  0.0  0.0  0.0 

CH3OCO	      -37.83       70.50       15.26       17.74       20.19       22.37       25.81       28.27       31.76  0.0  0.0  0.0 

cC2H3O2	       -8.75       66.41       15.49       18.87       21.70       23.96       27.29       29.62       33.07  0.0  0.0  0.0 

acetyloxy	      -44.66       67.74       14.61       17.66       20.34       22.56       25.94       28.35       31.93  0.0  0.0  0.0 

CH2COOH	      -55.81       67.80       16.49       19.87       22.65       24.95       28.45       30.84       33.78  0.0  0.0  0.0 

OCHOOH	      -68.90       67.24       17.22       19.74       21.35       22.49       24.14       25.39       27.47  0.0  0.0  0.0 

ethanol	      -56.24       66.77       15.67       19.24       22.57       25.46       30.09       33.60       39.27  0.0  0.0  0.0 

CH3OCH3	      -43.93       63.86       15.77       18.92       22.07       24.95       29.76       33.49       39.39  0.0  0.0  0.0 

C2H6	      -19.50       54.73       12.57       15.51       18.42       21.06       25.49       28.96       34.59  0.0  0.0  0.0 

OCHCO	      -14.75       67.19       13.86       15.60       17.09       18.33       20.23       21.56       23.46  0.0  0.0  0.0 

OCCOH	        5.93       65.75       14.28       16.05       17.47       18.61       20.30       21.48       23.25  0.0  0.0  0.0 

C3H3	       86.21       60.63       14.90       17.21       19.00       20.43       22.68       24.42       27.32  0.0  0.0  0.0 

H2CC	       99.43       54.47       10.53       11.50       12.36       13.11       14.38       15.42       17.18  0.0  0.0  0.0 

H2CC(T)	      146.96       55.63        9.32       10.47       11.54       12.48       14.03       15.22       17.13  0.0  0.0  0.0 

C2H2	       56.10       47.73       10.27       11.79       12.85       13.67       14.94       15.97       17.79  0.0  0.0  0.0 

C2H2JJ	      144.72       54.21        9.63       10.90       11.97       12.88       14.32       15.44       17.25  0.0  0.0  0.0 

C2H3	       72.20       55.78       10.41       12.28       13.89       15.23       17.38       19.05       21.77  0.0  0.0  0.0 

C2H4JJ	       79.52       57.01       13.22       15.37       17.19       18.72       21.23       23.22       26.51  0.0  0.0  0.0 

C2H4	       13.55       52.25       10.17       12.51       14.73       16.67       19.80       22.20       26.08  0.0  0.0  0.0 

glyoxal	      -50.74       64.55       14.48       17.03       19.41       21.41       24.26       26.01       28.19  0.0  0.0  0.0 

lactone	      -40.91       63.08       13.08       15.99       18.41       20.35       23.20       25.16       28.02  0.0  0.0  0.0 

hydroxyketene	      -35.59       66.58       15.92       18.16       19.88       21.24       23.27       24.75       27.13  0.0  0.0  0.0 

C32CH2OOH	      -37.78       75.15       20.00       24.10       27.75       30.83       35.65       39.22       44.80  0.0  0.0  0.0 

CH3OOCH3	      -28.59       72.22       19.47       23.30       26.88       30.00       35.04       38.86       44.84  0.0  0.0  0.0 

CH2CHCH2OOH	      -10.19       82.03       25.13       29.03       32.69       35.84       40.80       44.47       50.25  0.0  0.0  0.0 

propen1ooh	      -13.57       81.56       23.58       28.05       31.99       35.30       40.41       44.17       50.07  0.0  0.0  0.0 

propen2ooh	      -18.11       78.90       24.92       29.70       33.46       36.48       41.12       44.60       50.20  0.0  0.0  0.0 

npropylooh	      -42.14       84.19       25.71       31.19       36.07       40.20       46.68       51.49       59.01  0.0  0.0  0.0 

ipropylooh	      -46.52       82.43       26.88       32.34       37.10       41.08       47.29       51.90       59.17  0.0  0.0  0.0 

CH2CHCO	       24.52       67.91       15.61       18.59       21.17       23.32       26.65       29.05       32.71  0.0  0.0  0.0 

