H2O2	OO
OH	[OH]
H2	[H][H]
H	[H]
O	[O]
H2O	O
HO2	[O]O
O2	[O][O]
AR	[Ar]
N2	N#N
HE	[He]
CO	[C-]#[O+]
CO2	O=C=O
CH4	C
CH3	[CH3]
CH3OH	CO
C	[C]
CH	[CH]
C2H	[C]#C
C2H4	C=C
C2H5	C[CH2]
C2H6	CC
CH3O	C[O]	! Confirmed by Anonymous
CH2OH	[CH2]O	! Confirmed by Anonymous
CH2(S)	[CH2]	! Confirmed by Anonymous
C2H3	[CH]=C	! Confirmed by Anonymous
CH2O	C=O	! Confirmed by Anonymous
C2H2	C#C	! Confirmed by Anonymous
HCO	[CH]=O	! Confirmed by Anonymous
CH2	[CH2]	! Confirmed by Anonymous
HOCO	O=[C]O	! Confirmed by Anonymous
CH3OO	CO[O]	! Confirmed by Anonymous
HOCHO	O=CO	! Confirmed by Anonymous
CH3OOH	COO	! Confirmed by Anonymous
OCHO	[O]C=O	! Confirmed by Anonymous
CH3CH2O	CC[O]	! Confirmed by Anonymous
CH2OOH	[CH2]OO	! Confirmed by Anonymous
CH3CHO	CC=O	! Confirmed by Anonymous
CH3CH2OH	CCO	! Confirmed by Anonymous
CH2CHO	[CH2]C=O	! Confirmed by Anonymous
CH2CH2OH	[CH2]CO	! Confirmed by Anonymous
CH3CHOH	C[CH]O	! Confirmed by Anonymous
CH2CHOH	C=CO	! Confirmed by Anonymous
CH3CO	C[C]=O	! Confirmed by Anonymous
CHCHOH	[CH]=CO	! Confirmed by Anonymous
CH2CO	C=C=O	! Confirmed by Anonymous
HCCOH	C#CO	! Confirmed by Anonymous
CH2CHOOH	C=COO	! Confirmed by Anonymous
HCCO	C#C[O]	! Confirmed by Anonymous
CH2CHOO	C=CO[O]	! Confirmed by Anonymous
CH3CH2OO	CCO[O]	! Confirmed by Anonymous
HOCH2CH2OO	[O]OCCO	! Confirmed by Anonymous
CH3CH2OOH	CCOO	! Confirmed by Anonymous
CH2CH2OOH	[CH2]COO	! Confirmed by Anonymous
CH3CHOOH	C[CH]OO	! Confirmed by Anonymous
cC2H4O	C1CO1	! Confirmed by Anonymous
cC2H3O	[CH]1CO1	! Confirmed by Anonymous
OCHCHO	O=CC=O	! Confirmed by Anonymous
HOCH2O	[O]CO	! Confirmed by Anonymous
OCHCO	[O]C=C=O	! Confirmed by Anonymous
CH3C(O)O	CC([O])=O	! Confirmed by Anonymous
C2	[C]#[C]	! Confirmed by Anonymous
CH3C(O)OO	CC(=O)O[O]	! Confirmed by Anonymous
CH3C(O)OOH	CC(=O)OO	! Confirmed by Anonymous
C2O	[C]#C[O]	! Confirmed by Anonymous
HCOH	[CH]O	! Confirmed by Anonymous
CHCHO	[CH]=C[O]	! Confirmed by Anonymous
H2CC	[C]=C	! Confirmed by Anonymous

