C12H24 C=CCCCCCCCCCC
CH3cC5H83 CC1C[CH]CC1
C4H612 C=C=CC
PXC12H25 [CH2]CCCCCCCCCCC
CH2(S) [CH2]
SXC5H11 C[CH]CCC
CH3OH CO
PXC12H23 [CH2]CCCCCCCCCC=C
SXC12H25 C[CH]CCCCCCCCCC
CH3CO C[C]=O
O2 [O][O]
C6H4CH3 CC1[CH]C=C=CC=1
S4XC12H25 CCCC[CH]CCCCCCC
SXC8H17 C[CH]CCCCCC
HCCOH C#CO
NC5H12 CCCCC
PXC8H17 [CH2]CCCCCCC
S3XC10H21 CCC[CH]CCCCCC
C5H5OH OC1C=CC=C1
NC7H16 CCCCCCC
SXC7H15 C[CH]CCCCC
CH2 [CH2]
CH3 [CH3]
CH4 C
C2H [C]#C
C2O [C]=C=O
m1C5H81 [CH2]C(C)CC=C
CH3CHCH [CH]=CC
S2XC10H21 CC[CH]CCCCCCC
C7H14 C=CCCCCC
C2H3CHOCH2 C=CC1CO1
H [H]
NC9H20 CCCCCCCCC
C4H10 CCCC
CH3CHOCH2 CC1CO1
S3XC8H17 CCC[CH]CCCC
C4H81 C=CCC
OH [OH]
NC10H22 CCCCCCCCCC
CH2C5H8 C=C1CCCC1
S4XC9H19 CCCC[CH]CCCC
H2 [H][H]
pC3H4 C#CC
S4XC11H23 CCCC[CH]CCCCCC
SAXC5H9 C=C[CH]CC
CH2C4H7 [CH2]C(C)C=C
C6H12 C=CCCCC
CH3CH2CHO CCC=O
C3H6 C=CC
S2XC9H19 CC[CH]CCCCCC
l-C6H4 C#CC#CC=C
C3H3 C#C[CH2]
S2XC11H23 CC[CH]CCCCCCCC
C3H8 CCC
CH2OCH2 C1CO1
C6H10-13 C=CC=CCC
CH2O C=O
CH2OH [CH2]O
C11H22 C=CCCCCCCCCC
aC3H4 C=C=C
aC3H5 [CH2]C=C
H2O2 OO
C6H5CH2OH OCC1C=CC=CC=1
CH3CHCHCO CC=C[C]=O
pC4H9 [CH2]CCC
SXC11H23 C[CH]CCCCCCCCC
C4H82 CC=CC
SXC6H13 C[CH]CCCC
C5H10 C=CCCC
SXC6H11 C=CCC[CH]C
cC3H4 C1=CC1
HCCO C#C[O]
PXC5H11 [CH2]CCCC
C [C]
CH2OCH [CH]1CO1
CH2CHCHCHO [CH2]C=CC=O
S3XC7H15 CCC[CH]CCC
O [O]
C4H4 C#CC=C
PXC11H21 [CH2]CCCCCCCCC=C
PXC11H23 [CH2]CCCCCCCCCC
C8H16 C=CCCCCCC
iC3H7 C[CH]C
C2H6 CC
C4H6O25 C1=CCOC1
C2H4 C=C
C4H6O23 C1=COCC1
C6H5OH OC1C=CC=CC=1
C6H4O2 O=C1C=CC(=O)C=C1
nC3H7 [CH2]CC
SAXC6H11 C=C[CH]CCC
S3XC11H23 CCC[CH]CCCCCCC
NC8H18 CCCCCCCC
C6H2 C#CC#CC#C
S2XC7H15 CC[CH]CCCC
C6H6 C1=CC=CC=C1
C6H5 [C]1=CC=CC=C1
cC5H9CH2 [CH2]C1CCCC1
S3XC9H19 CCC[CH]CCCCC
c-C4H5 [CH]1C=CC1
PXC8H15 [CH2]CCCCCC=C
H2C4O C=C=C=C=O
PXC7H13 [CH2]CCCCC=C
C5H4O O=C1C=CC=C1
PXC7H15 [CH2]CCCCCC
C4H6-2 CC#CC
S3XC12H25 CCC[CH]CCCCCCCC
C5H6 C1C=CCC=1
C5H5O(2,4) [O]C1C=CC=C1
SXC5H9 C=CC[CH]C
CH3CHO CC=O
CH3O C[O]
C2H3 [CH]=C
SXC10H21 C[CH]CCCCCCCC
HCO [CH]=O
NC11H24 CCCCCCCCCCC
PXC5H9 [CH2]CCC=C
CH2CHCO C=C[C]=O
CH3COCH3 CC(C)=O
CH [CH]
CO [C-]#[O+]
cC5H8 C1=CCCC1
CH3CCH2 C=[C]C
o-C6H4 C1#CC=C[CH][CH]1
C9H18 C=CCCCCCCC
C2H3CHO C=CC=O
iC4H10 CC(C)C
N2 N#N
iC4H3 C#C[C]=C
CO2 O=C=O
iC4H5 C=[C]C=C
iC4H7 [CH2]C(=C)C
iC4H9 [CH2]C(C)C
iC4H8 C=C(C)C
SAXC6H11-3 CC=C[CH]CC
S4XC10H21 CCCC[CH]CCCCC
H2O O
PXC9H17 [CH2]CCCCCCC=C
cC6H11 [CH]1CCCCC1
cC6H10 C1=CCCCC1
C2H5 C[CH2]
C6H5O O=C1C=C[CH]C=C1
S2XC6H11 C=CC[CH]CC
C5H5O(1,3) O=C1C=C[CH]C1
S2XC6H13 CC[CH]CCC
HOC6H4CH3 CC1=CC=CC(O)=C1
PXC6H11 [CH2]CCCC=C
PXC6H13 [CH2]CCCCC
C6H5CH2 [CH2]C1C=CC=CC=1
C6H5CH3 CC1C=CC=CC=1
lC5H7 [CH2]C=CC=C
S2XC5H11 CC[CH]CC
sC4H9 C[CH]CC
OC12OOH CCCCCCCCCCC(=O)COO
PXC10H19 [CH2]CCCCCCCC=C
PC12H25O2 CCCCCCCCCCCCO[O]
C10H20 C=CCCCCCCCC
CH2CHO C=C[O]
tC4H9 C[C](C)C
C4H5-2 [CH2]C#CC
C6H3 [CH]=CC#CC#C
SOO12OOH [O]OCCCCCCCCCCCCOO
cC5H9 [CH]1CCCC1
NC12H26 CCCCCCCCCCCC
HO2 [O]O
OC6H4CH3 CC1[CH]C=CC(=O)C=1
nC4H3 [CH]=CC#C
nC4H5 [CH]=CC=C
S5XC12H25 CCCCC[CH]CCCCCC
P12OOHX2 CCCCCCCCC[CH]CCOO
C5H5 [CH]1C=CC=C1
NC6H14 CCCCCC
S5XC11H23 CCCCC[CH]CCCCC
C5H8-13 C=CC=CC
C4H2 C#CC#C
C5H8-14 C=CCC=C
C4H7 [CH2]CC=C
C4H6 C=CC=C
C4H4O C1C=COC=1
C2H2 C#C
C5H4OH OC1[CH]C=CC=1
SXC9H19 C[CH]CCCCCCC
PXC10H21 [CH2]CCCCCCCCC
CH3CHCHCHO CC=CC=O
