Species name	SMILES	Enthaply discrepancy at 298K
C12H24	C=CCCCCCCCCCC	-0.0
C4H612	C=C=CC	3.4
PXC12H25	[CH2]CCCCCCCCCCC	-0.0
SXC5H11	C[CH]CCC	126.8
CH3OH	CO	0.9
PXC12H23	[CH2]CCCCCCCCCC=C	-0.0
SXC12H25	C[CH]CCCCCCCCCC	0.0
CH3CO	C[C]=O	-0.5
O2	[O][O]	-0.0
C6H4CH3	CC1[CH]C=C=CC=1	0.0
S4XC12H25	CCCC[CH]CCCCCCC	0.0
SXC8H17	C[CH]CCCCCC	0.0
HCCOH	C#CO	-13.9
NC5H12	CCCCC	0.0
PXC8H17	[CH2]CCCCCCC	0.0
S3XC10H21	CCC[CH]CCCCCC	-0.0
C5H5OH	OC1C=CC=C1	0.0
NC7H16	CCCCCCC	0.0
SXC7H15	C[CH]CCCCC	-0.0
CH2	[CH2]	0.9
CH3	[CH3]	-0.2
CH4	C	-0.1
C2H	[C]#C	-1.6
C2O	[C]=C=O	-89.9
CH3CHCH	[CH]=CC	0.2
S2XC10H21	CC[CH]CCCCCCC	-0.0
C7H14	C=CCCCCC	0.0
C2H3CHOCH2	C=CC1CO1	0.0
H	[H]	-0.0
NC9H20	CCCCCCCCC	0.0
C4H10	CCCC	0.0
CH3CHOCH2	CC1CO1	0.3
S3XC8H17	CCC[CH]CCCC	0.0
C4H81	C=CCC	-0.5
OH	[OH]	0.5
NC10H22	CCCCCCCCCC	0.0
S4XC9H19	CCCC[CH]CCCC	-0.0
H2	[H][H]	-0.0
pC3H4	C#CC	0.1
S4XC11H23	CCCC[CH]CCCCCC	0.0
SAXC5H9	C=C[CH]CC	0.0
C6H12	C=CCCCC	-0.5
CH3CH2CHO	CCC=O	-0.4
C3H6	C=CC	1.2
S2XC9H19	CC[CH]CCCCCC	-0.0
l-C6H4	C#CC#CC=C	-0.0
C3H3	C#C[CH2]	-6.3
S2XC11H23	CC[CH]CCCCCCCC	0.0
C3H8	CCC	0.8
CH2OCH2	C1CO1	-0.9
C6H10-13	C=CC=CCC	0.0
CH2O	C=O	0.9
CH2OH	[CH2]O	-2.0
C11H22	C=CCCCCCCCCC	-0.0
aC3H4	C=C=C	2.3
aC3H5	[CH2]C=C	1.3
H2O2	OO	0.1
C6H5CH2OH	OCC1C=CC=CC=1	-0.0
CH3CHCHCO	CC=C[C]=O	9.1
pC4H9	[CH2]CCC	-3.6
SXC11H23	C[CH]CCCCCCCCC	0.0
C4H82	CC=CC	0.5
SXC6H13	C[CH]CCCC	0.0
C5H10	C=CCCC	-0.4
SXC6H11	C=CCC[CH]C	2.6
cC3H4	C1=CC1	-5.8
HCCO	C#C[O]	-0.0
PXC5H11	[CH2]CCCC	0.0
C	[C]	-121.8
CH2OCH	[CH]1CO1	-3.7
CH2CHCHCHO	[CH2]C=CC=O	-0.0
S3XC7H15	CCC[CH]CCC	-0.0
O	[O]	-0.1
C4H4	C#CC=C	1.3
PXC11H21	[CH2]CCCCCCCCC=C	-0.0
PXC11H23	[CH2]CCCCCCCCCC	-0.0
C8H16	C=CCCCCCC	0.0
iC3H7	C[CH]C	1.1
C2H6	CC	-0.1
C4H6O25	C1=CCOC1	-0.0
C2H4	C=C	0.3
C4H6O23	C1=COCC1	0.0
C6H5OH	OC1C=CC=CC=1	-0.0
C6H4O2	O=C1C=CC(=O)C=C1	-0.0
nC3H7	[CH2]CC	-3.7
SAXC6H11	C=C[CH]CCC	4.7
S3XC11H23	CCC[CH]CCCCCCC	0.0
NC8H18	CCCCCCCC	0.0
C6H2	C#CC#CC#C	-0.0
S2XC7H15	CC[CH]CCCC	-0.0
C6H6	C1=CC=CC=C1	-0.0
C6H5	[C]1=CC=CC=C1	-0.0
S3XC9H19	CCC[CH]CCCCC	-0.0
c-C4H5	[CH]1C=CC1	0.0
PXC8H15	[CH2]CCCCCC=C	-0.0
H2C4O	C=C=C=C=O	-0.0
PXC7H13	[CH2]CCCCC=C	0.0
C5H4O	O=C1C=CC=C1	0.0
PXC7H15	[CH2]CCCCCC	0.0
C4H6-2	CC#CC	0.0
S3XC12H25	CCC[CH]CCCCCCCC	0.0
C5H6	C1C=CCC=1	-0.0
C5H5O(2,4)	[O]C1C=CC=C1	-0.0
SXC5H9	C=CC[CH]C	2.4
CH3CHO	CC=O	-0.6
CH3O	C[O]	0.6
C2H3	[CH]=C	2.0
SXC10H21	C[CH]CCCCCCCC	-0.0
HCO	[CH]=O	-0.5
NC11H24	CCCCCCCCCCC	0.0
PXC5H9	[CH2]CCC=C	-0.0
CH2CHCO	C=C[C]=O	-24.8
CH3COCH3	CC(C)=O	0.3
CH	[CH]	1.9
CO	[C-]#[O+]	-0.1
cC5H8	C1=CCCC1	-0.0
CH3CCH2	C=[C]C	0.4
o-C6H4	C1#CC=C[CH][CH]1	-0.0
C9H18	C=CCCCCCCC	0.0
C2H3CHO	C=CC=O	-0.6
