Species name	SMILES	Enthaply discrepancy at 298K
H2O2	OO	0.1
OH	[OH]	0.2
H2	[H][H]	-0.0
H	[H]	-0.0
O	[O]	-0.1
H2O	O	-0.0
HO2	[O]O	-0.3
O2	[O][O]	-0.0
AR	[Ar]	0.0
N2	N#N	0.0
HE	[He]	0.0
OHV	[OH]	387.8	DUPLICATE of OH
CO	[C]=O	-363.0
CO2	O=C=O	0.2
CH4	C	-0.1
CH3	[CH3]	-0.4
C	[C]	-121.8
CH	[CH]	0.3
CHV	[CH]	277.1	DUPLICATE of CH
CH3OH	CO	0.8
C2H6	CC	-0.1
C2H5	C[CH2]	-0.1
C2H4	C=C	0.4
C2H	[C]#C	0.3
C3H8	CCC	0.7
C2H2	C#C	-0.4
CH3OCH3	COC	0.3
O3	O=OO	106.6
N	[N]	0.1
NO2	N(=O)[O]	-1.1
CH3O	C[O]	0.6
CH2OH	[CH2]O	-2.0
CH2O	C=O	0.3
NC3H7	[CH2]CC	3.9
HCO	[CH]=O	-0.2
HONO	N(=O)O	-76.7
C2H3	[CH]=C	-0.6
CH2	[CH2]	-0.3
CH3OCH2	[CH2]OC	-3.2
C3H6	C=CC	6.9
IC3H7	C[CH]C	3.9
C3H5-A	[CH2]C=C	6.3
C3H5-T	C=[C]C	-3.0
C3H5-S	[CH]=CC	-2.9
C3H4-A	C=C=C	2.3
C3H4-P	C#CC	0.1
NO	[N]=O	-1.0
HNO	N=O	-6.7
NO3	[N+](=O)([O-])[O]	-142.8
C6H101-5	C=CCCC=C	-0.0
C4H7O1-4	C=CCC[O]	-0.0
HNO3	[N+](=O)(O)[O-]	-134.3
CH3O2	CO[O]	-1.4
IC3H7O2	CC(C)O[O]	-0.5
C3H5O	C=CC[O]	0.6
NC3H7O	CCC[O]	-1.0
C3H6OOH2-1	[CH2]C(C)OO	-12.2
C2H5CHO	CCC=O	1.1
IC3H5OCH2	[CH2]OC(=C)C	-0.0
C2H5CO	CC[C]=O	-3.9
CH3O2H	COO	1.8
IC3H7O	CC(C)[O]	-7.0
CH2CH2CHO	[CH2]CC=O	-9.8
NC3H7O2	CCCO[O]	-2.9
C3H6OH1-2	C[CH]CO	-6.1
C2H3OO	C=CO[O]	-8.3
CH3COCH3	CC(C)=O	-0.6
C2H5O	CC[O]	-1.1
C3H6CHO-2	C[CH]CC=O	-5.0
PC4H8CHO-4	[CH2]CCCC=O	-1.5
C5H91-5	[CH2]CCC=C	65.0
CH3NO2	C[N+](=O)[O-]	-80.8
C4H8-1	C=CCC	0.0
C5H10-1	C=CCCC	0.1
NC3H7O2H	CCCOO	-1.4
C5H91-3	C=C[CH]CC	13.2
C4H71-4	[CH2]CC=C	-3.1
C4H71-3	C=C[CH]C	0.7
C5H91-4	C=CC[CH]C	0.1
C3H3	C#C[CH2]	-0.8
C4H8-2	CC=CC	0.1
C5H10-2	CC=CCC	0.0
C8H142-6	CC=CCCC=CC	0.8
IC3H7O2H	CC(C)OO	0.1
C4H71-1	[CH]=CCC	-3.6
C6H6	C1=CC=CC=C1	-0.8
FULVENE	C=C1C=CC=C1	0.0
C6H5	[C]1=CC=CC=C1	0.8
C2H3CHO	C=CC=O	-1.1
C4H7O2-1	CC=CC[O]	-0.0
C4H612	C=C=CC	3.4
C4H6	C=CC=C	14.1
C8H132-6,SA	CC=C[CH]CC=CC	0.4
C4H5-N	[CH]=CC=C	-4.1
C4H5-I	C=[C]C=C	5.0
C8H141-5,3-4	C=CC(C)C(C)C=C	-3.4
C8H141-5,3	C=CC(C)CC=CC	-1.3
AC3H5OCH2	[CH2]C1COC1	0.0
C3H3O2H	C#CCOO	0.0
C4H72-2	C[C]=CC	-7.0
C4H71-2	C=[C]CC	-1.6
SC4H9	C[CH]CC	-2.8
C4H4	C#CC=C	-4.3
C2H3CO	C=C[C]=O	-0.1
C4H6-2	CC#CC	0.0
C5H92-5	[CH2]CC=CC	-0.0
C5H92-4	C[CH]C=CC	0.0
C8H132-6,PA	[CH2]C=CCCC=CC	-0.4
C6H9-A	C=C[CH]CC=C	0.0
C8H131-5,3-4,TA	C=C[C](C)C(C)C=C	0.4
C8H131-5,3,PA	[CH2]C=CCC(C)C=C	-2.5
C8H131-5,3,SA	C=CC(C)[CH]C=CC	-1.7
C8H131-5,3,TA	C=C[C](C)CC=CC	2.5
C-C6H4	C1#CC=CC=C1	0.0
C4H10	CCCC	0.0
C5H81-3	C=CC=CC	16.8
C4H3-N	[CH]=CC#C	-12.9
C2H5OH	CCO	1.2
C4H72-1OOH	CC=CCOO	0.0
IC3H6CHO	[CH2]C(C)C=O	-5.5
SC3H5CHO	CC=CC=O	-6.0
C5H9O1-3	C=CC([O])CC	-0.0
C8H132-6,SAO	CC=CCC([O])C=CC	4.5
C8H131-5,3,SAO	C=CC(C)C([O])C=CC	-0.5
CH2CHCHCHO	[CH2]C=CC=O	-1.0
PC4H9	[CH2]CCC	-1.2
CVCCVCCJ	[CH2]C=CC=C	-0.8
PC2H4OH	[CH2]CO	-2.1
C5H11-2	C[CH]CCC	-0.9
AC3H5OOH	C=CCOO	7.1
C5H11O2-2	CCCC(C)O[O]	-0.0
CH3COCH2	[CH2]C(C)=O	-8.1
CH3CHO	CC=O	-0.6
SC4H9O2	CCC(C)O[O]	0.6
C4H2	C#CC#C	4.8
C4H71-3OOH	C=CC(C)OO	0.0
H2CNO2	[N+](=O)([CH2])[O-]	-38.9
C2H3OH	C=CO	2.0
C4H71-4O2	C=CCCO[O]	-12.2
C5H10OOH2-3	CC[CH]C(C)OO	-0.0
C5H10OOH2-1	[CH2]C(CCC)OO	-0.0
C4H8OOH2-1	[CH2]C(CC)OO	0.3
CH2CH2CH2COCH3	[CH2]CCC(C)=O	-1.6
C2H5O2	CCO[O]	-4.1
CC3H6	C1CC1	-1.2
C4H71-4OOH	C=CCCOO	0.2
CH2CHO	[CH2]C=O	-5.8
CH3CO	C[C]=O	-0.8
SC4H9O	CCC(C)[O]	-2.8
C4H71-O	C=CC(C)[O]	0.0
CH2CO	C=C=O	0.7
SC4H9O2H	CCC(C)OO	0.6
CH2(S)	[CH2]	37.3	DUPLICATE of CH2
HOCHO	O=CO	-0.1
AC5H9-D	[CH2]CC(=C)C	-0.0
NC5H12	CCCCC	0.7
NC3H7COCH3	CCCC(C)=O	-1.8
DC5H11	[CH2]CC(C)C	0.6
IC4H10	CC(C)C	-0.6
IC4H7	[CH2]C(=C)C	-6.7
CC5H11	C[CH]C(C)C	0.6
DC5H11O2	CC(C)CCO[O]	0.6
PC4H9CHO	CCCCC=O	-1.7
C5H10OOH2-1O2	CCCC(CO[O])OO	0.0
O2CHO	[O]OC=O	-25.6
IC5H12	CCC(C)C	0.6
HCCO	C#C[O]	0.9
SC2H4OH	C[CH]O	-0.4
C5H10OOH2-3O2	CCC(O[O])C(C)OO	-0.0
HCCOH	C#CO	1.1
DC5H11O	CC(C)CC[O]	0.6
IC3H5OH	C=C(C)O	7.4
C2H5O2H	CCOO	-2.8
CC5H11O2	CC(C)C(C)O[O]	0.6
DC5H11O2H	CC(C)CCOO	0.6
CC5H11O2H	CC(C)C(C)OO	0.6
O2C2H4OH	[O]OCCO	-0.0
CH3OCHO	COC=O	-5.5
C5H11O2H-2	CCCC(C)OO	0.0
CVCCJCVC	[CH2]C=CC=C	0.0	DUPLICATE of CVCCVCCJ
NH	[NH]	-0.0
CJVCCVO	[CH]=CC=O	-23.4
HO2CHO	O=COO	6.9
C5H11-3	CC[CH]CC	-0.9
C5H11-1	[CH2]CCCC	0.9
CH2OCHO	[CH2]OC=O	-0.7
CH3OCO	CO[C]=O	-2.0
NC5KET24O	CC(=O)CC(C)[O]	0.0
BC5H10	CC=C(C)C	-0.0
IC3H5OOCH2	[CH2]OOC(=C)C	-0.0
IC5KETDBO	CC(C)([O])CC=O	0.4
AC5H10	C=C(C)CC	-0.0
NC5KET13O	CCC([O])CC=O	-0.0
OCHO	[O]C=O	-3.3
C4H61-3OOH4	C=C[CH]COO	-0.4
CC5H11O	CC(C)C(C)[O]	0.6
NC3H7COCH2	[CH2]C(=O)CCC	4.1
C5H11O-1	CCCCC[O]	-0.0
C5H9O2-4	CC=CC(C)[O]	-0.0
PC4H9O	CCCC[O]	0.5
C5H9O24-1	[CH2]C1CC(C)O1	0.3
IC5KETDAO	CC(C[O])CC=O	0.6
C4H6-1	C#CCC	-2.5
NC3H7CHO	CCCC=O	-2.1
C4H72-1,3OOH	CC([CH]COO)OO	4.9
OCH2OCHO	[O]COC=O	-0.0
O2CH2CHO	[O]OCC=O	-8.9
NC5KET14O	CC([O])CCC=O	-0.0
H15DE25DM	C=C(C)CCC(=C)C	0.0
C4H72-1OOCH3	CC=CCOOC	19.9
IC5KETADO	CC(C=O)CC[O]	0.4
B13DE2M	C=CC(=C)C	0.0
CH3OCH2O	COC[O]	-20.1
BC5H11O2	CCC(C)(C)O[O]	-11.6
AC5H9-C	C=C(C)[CH]C	0.0
AC5H11	[CH2]C(C)CC	0.6
BC5H11	CC[C](C)C	1.8
IC4H9	[CH2]C(C)C	-1.8
TC4H9	C[C](C)C	-4.7
C4H3-I	C#C[C]=C	1.9
C5H11O-2	CCCC(C)[O]	0.0
CC5H9-B	C=C[C](C)C	0.0
BC5H11O	CCC(C)(C)[O]	0.4
CH2OCH2CHO	[O]CCC=O	0.4
C4H8OOH1-3O2	CC(CCOO)O[O]	2.8
PC4H9O2	CCCCO[O]	2.0
