H2O2	OO
OH	[OH]
H2	[H][H]
H	[H]
O	[O]
H2O	O
HO2	[O]O
O2	[O][O]
AR	[Ar]
N2	N#N
HE	[He]
OHV	[OH]
CO	[C]=O
CO2	O=C=O
CH4	C
CH3	[CH3]
C	[C]
CH	[CH]
CHV	[CH]
CH3OH	CO
C2H6	CC
C2H5	C[CH2]
C2H4	C=C
C2H	[C]#C
C3H8	CCC
C2H2	C#C
CH3OCH3	COC
O3	[O-][O+]=O
N	[N]
NO2	O=N[O]
CH3O	C[O]	! Confirmed by alongd
CH2OH	[CH2]O	! Confirmed by alongd
CH2O	C=O	! Confirmed by alongd
NC3H7	[CH2]CC	! Confirmed by alongd
HCO	[CH]=O	! Confirmed by alongd
HONO	N(=O)O	! Confirmed by alongd
C2H3	[CH]=C	! Confirmed by alongd
CH2	[CH2]	! Confirmed by alongd
CH3OCH2	[CH2]OC	! Confirmed by alongd
C3H6	C=CC	! Confirmed by alongd
IC3H7	C[CH]C	! Confirmed by alongd
C3H5-A	[CH2]C=C	! Confirmed by alongd
C3H5-T	C=[C]C	! Confirmed by alongd
C3H5-S	[CH]=CC	! Confirmed by alongd
C3H4-A	C=C=C	! Confirmed by alongd
C3H4-P	C#CC	! Confirmed by alongd
NO	[N]=O	! Confirmed by alongd
HNO	N=O	! Confirmed by alongd
NO3	[N+](=O)([O-])[O]	! Confirmed by alongd
C6H101-5	C=CCCC=C	! Confirmed by alongd
C4H7O1-4	C=CCC[O]	! Confirmed by alongd
HNO3	[N+](=O)(O)[O-]	! Confirmed by alongd
CH3O2	CO[O]	! Confirmed by alongd
IC3H7O2	CC(C)O[O]	! Confirmed by alongd
C3H5O	C=CC[O]	! Confirmed by alongd
NC3H7O	CCC[O]	! Confirmed by alongd
C3H6OOH2-1	[CH2]C(C)OO	! Confirmed by alongd
C2H5CHO	CCC=O	! Confirmed by alongd
IC3H5OCH2	[CH2]OC(=C)C	! Confirmed by alongd
C2H5CO	CC[C]=O	! Confirmed by alongd
CH3O2H	COO	! Confirmed by alongd
IC3H7O	CC(C)[O]	! Confirmed by alongd
CH2CH2CHO	[CH2]CC=O	! Confirmed by alongd
NC3H7O2	CCCO[O]	! Confirmed by alongd
C3H6OH1-2	C[CH]CO	! Confirmed by alongd
C2H3OO	C=CO[O]	! Confirmed by alongd
CH3COCH3	CC(C)=O	! Confirmed by alongd
C2H5O	CC[O]	! Confirmed by alongd
C3H6CHO-2	C[CH]CC=O	! Confirmed by alongd
PC4H8CHO-4	[CH2]CCCC=O	! Confirmed by alongd
C5H91-5	[CH2]CCC=C	! Confirmed by alongd
CH3NO2	C[N+](=O)[O-]	! Confirmed by alongd
C4H8-1	C=CCC	! Confirmed by alongd
C5H10-1	C=CCCC	! Confirmed by alongd
NC3H7O2H	CCCOO	! Confirmed by alongd
C5H91-3	C=C[CH]CC	! Confirmed by alongd
C4H71-4	[CH2]CC=C	! Confirmed by alongd
C4H71-3	C=C[CH]C	! Confirmed by alongd
C5H91-4	C=CC[CH]C	! Confirmed by alongd
C3H3	C#C[CH2]	! Confirmed by alongd
C4H8-2	CC=CC	! Confirmed by alongd
C5H10-2	CC=CCC	! Confirmed by alongd
C8H142-6	CC=CCCC=CC	! Confirmed by alongd
IC3H7O2H	CC(C)OO	! Confirmed by alongd
C4H71-1	[CH]=CCC	! Confirmed by alongd
C6H6	C1=CC=CC=C1	! Confirmed by alongd
FULVENE	C=C1C=CC=C1	! Confirmed by alongd
C6H5	[C]1=CC=CC=C1	! Confirmed by alongd
C2H3CHO	C=CC=O	! Confirmed by alongd
C4H7O2-1	CC=CC[O]	! Confirmed by alongd
C4H612	C=C=CC	! Confirmed by alongd
C4H6	C=CC=C	! Confirmed by alongd
C8H132-6,SA	CC=C[CH]CC=CC	! Confirmed by alongd
C4H5-N	[CH]=CC=C	! Confirmed by alongd
C4H5-I	C=[C]C=C	! Confirmed by alongd
C8H141-5,3-4	C=CC(C)C(C)C=C	! Confirmed by alongd
C8H141-5,3	C=CC(C)CC=CC	! Confirmed by alongd

AC3H5OCH2	[CH2]C1COC1	! Confirmed by alongd
C3H3O2H	C#CCOO	! Confirmed by alongd
C4H72-2	C[C]=CC	! Confirmed by alongd
C4H71-2	C=[C]CC	! Confirmed by alongd
SC4H9	C[CH]CC	! Confirmed by alongd
C4H4	C#CC=C	! Confirmed by alongd
C2H3CO	C=C[C]=O	! Confirmed by alongd
C4H6-2	CC#CC	! Confirmed by alongd
C5H92-5	[CH2]CC=CC	! Confirmed by alongd
C5H92-4	C[CH]C=CC	! Confirmed by alongd
C8H132-6,PA	[CH2]C=CCCC=CC	! Confirmed by alongd
C6H9-A	C=C[CH]CC=C	! Confirmed by alongd
C8H131-5,3-4,TA	C=C[C](C)C(C)C=C	! Confirmed by alongd
C8H131-5,3,PA	[CH2]C=CCC(C)C=C	! Confirmed by alongd
C8H131-5,3,SA	C=CC(C)[CH]C=CC	! Confirmed by alongd
C8H131-5,3,TA	C=C[C](C)CC=CC	! Confirmed by alongd
C-C6H4	C1#CC=CC=C1	! Confirmed by alongd
C4H10	CCCC	! Confirmed by alongd
C5H81-3	C=CC=CC	! Confirmed by alongd
