Time (s),Volume (cm3),ethane(1),methane(2),CH3(3),C2H5(4),H(5),H2(8),C2H4(9),C2H3(14),C3H7(16),C4H9(17),C2H2(20),C4H7(25),C4H6(26),C2H2(28),C4H5(32),C4H7(40),C4H6(63),C4H6(79)
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.766745E-16,1.0,1.0,1.782075E-23,1.148648E-13,2.320633E-16,2.320633E-16,5.718616E-24,3.3278E-24,9.211994E-42,2.213702E-46,5.656547E-50,1.386963E-49,3.841205E-74,9.140071E-82,5.152836E-60,5.774801E-99,1.098179E-81,1.711207E-92,3.288665E-90
1.615484E-11,1.0,1.0,5.782525E-15,2.389183E-9,4.833475E-12,4.826144E-12,1.855386E-15,1.080847E-15,3.994957E-29,1.620839E-29,4.14967E-33,6.628689E-33,5.830564E-49,1.121338E-52,1.529704E-39,1.454923E-65,1.341527E-52,1.486619E-59,3.081792E-57
8.015555E-10,1.0,0.9999999,1.423448E-11,1.185303E-7,2.555001E-10,2.377292E-10,4.545227E-12,2.776998E-12,1.381671E-23,8.470262E-23,2.352673E-26,8.67691E-26,1.910938E-38,1.215376E-40,4.832062E-32,2.234937E-51,1.45038E-40,3.565838E-46,7.704869E-44
2.960635E-9,1.0,0.9999996,1.941563E-10,4.376632E-7,1.097965E-9,8.654111E-10,6.13427E-11,4.214391E-11,2.095388E-21,1.429071E-20,4.846031E-24,4.56918E-23,1.468284E-34,3.314417E-36,2.609733E-29,5.972256E-46,3.950225E-36,3.428891E-41,4.496304E-39
5.15133E-9,1.0,0.9999992,5.876601E-10,7.612579E-7,2.170989E-9,1.495004E-9,1.843957E-10,1.402337E-10,1.943668E-20,1.2067E-19,4.857709E-23,7.228384E-22,7.329796E-33,2.836103E-34,4.146239E-28,1.437463E-43,3.376072E-34,5.074178E-39,4.699415E-37
1.063939E-8,1.000001,0.9999984,2.505444E-9,1.570982E-6,5.742652E-9,3.120632E-9,7.845758E-10,7.262877E-10,3.882849E-19,1.882674E-18,1.057407E-21,2.912483E-20,1.352825E-30,1.062918E-31,1.675731E-26,2.136875E-40,1.261235E-31,3.901499E-36,2.081853E-34
1.884759E-8,1.000001,0.9999972,7.856154E-9,2.77955E-6,1.318762E-8,5.931151E-9,2.533145E-9,2.832989E-9,4.355131E-18,1.591778E-17,1.258507E-20,5.693818E-19,8.71524E-29,1.215359E-29,3.280432E-25,7.259551E-38,1.435032E-29,7.844293E-34,2.571973E-32
4.197054E-8,1.000003,0.9999937,3.886829E-8,6.168069E-6,4.571976E-8,1.822452E-8,1.514893E-8,2.083545E-8,1.364884E-16,3.084421E-16,4.224245E-19,3.914398E-17,3.148169E-26,9.719707E-27,2.25715E-23,2.610646E-34,1.131617E-26,1.383963E-30,2.183497E-29
7.882534E-8,1.000006,0.999988,1.366062E-7,1.151979E-5,1.291144E-7,5.455005E-8,7.58404E-8,1.068613E-7,2.109502E-15,3.177996E-15,6.961157E-18,1.130038E-15,3.163171E-24,1.863538E-24,6.518697E-22,1.56995E-31,2.121554E-24,4.921852E-28,4.286957E-27
1.615082E-7,1.000013,0.9999742,5.689554E-7,2.330616E-5,4.505908E-7,2.141614E-7,5.692688E-7,7.355316E-7,4.854343E-14,4.628979E-14,1.819189E-16,5.295565E-14,5.937251E-22,7.330174E-22,3.055436E-20,2.121177E-28,7.948786E-22,3.821295E-25,1.709907E-24
