Time (s),dln[ethane(1)]/dln[k1]: CH3(3)+CH3(3)=ethane(1),dln[ethane(1)]/dln[k2]: CH3(3)+ethane(1)=C2H5(4)+methane(2),dln[ethane(1)]/dln[k3]: H(5)+C2H5(4)=ethane(1),dln[ethane(1)]/dln[k4]: CH3(3)+H(5)=methane(2),dln[ethane(1)]/dln[k5]: H(5)+C2H4(9)=C2H5(4),dln[ethane(1)]/dln[k6]: CH3(3)+C2H5(4)=C2H4(9)+methane(2),dln[ethane(1)]/dln[k7]: C2H5(4)+C2H5(4)=C2H4(9)+ethane(1),dln[ethane(1)]/dln[k8]: H(5)+ethane(1)=C2H5(4)+H2(8),dln[ethane(1)]/dln[k9]: H(5)+methane(2)=CH3(3)+H2(8),dln[ethane(1)]/dln[k10]: H(5)+C2H5(4)=H2(8)+C2H4(9),dln[ethane(1)]/dln[k12]: H(5)+C2H3(14)=C2H4(9),dln[ethane(1)]/dln[k13]: C2H3(14)+methane(2)=CH3(3)+C2H4(9),dln[ethane(1)]/dln[k15]: H(5)+C2H4(9)=H2(8)+C2H3(14),dln[ethane(1)]/dln[k16]: C2H5(4)+C2H3(14)=C2H4(9)+C2H4(9),dln[ethane(1)]/dln[k17]: H(5)+C2H2(20)=C2H3(14),dln[ethane(1)]/dln[k18]: CH3(3)+C2H3(14)=C2H2(20)+methane(2),dln[ethane(1)]/dln[k19]: C2H5(4)+C2H3(14)=C2H2(20)+ethane(1),dln[ethane(1)]/dln[k21]: H(5)+C2H3(14)=H2(8)+C2H2(20),dln[ethane(1)]/dln[k34]: C4H7(40)+C2H5(4)=C4H6(26)+ethane(1)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.766745E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.615484E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.642931E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.297966E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.509558E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.364784E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.326504E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.314441E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.587117E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.859793E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.16273E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.004621E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.416968E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.829315E-6,-0.001494578,-0.001183862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.241662E-6,-0.002368764,-0.001979795,0.0,0.0,-0.001377852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.654009E-6,-0.003430871,-0.00298153,0.0,0.0,-0.00209032,0.0,0.0,-0.001484699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.066356E-6,-0.004640682,-0.004166147,0.0,0.0,-0.002932637,0.0,0.0,-0.002208472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.378338E-6,-0.005626383,-0.005166286,0.0,0.0,-0.003641126,0.0,0.0,-0.002868179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.996717E-6,-0.007678394,-0.007356121,0.0,0.001296404,-0.005178281,0.0,0.0,-0.004457991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0E-6,-0.01102328,-0.01128153,0.0,0.002737276,-0.007871262,0.0,0.0,-0.007771799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.696972E-6,-0.01605157,-0.01822326,0.002056459,0.006259478,-0.01241854,0.0,0.0,-0.01495056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.644867E-6,-0.02061885,-0.02586911,0.004486936,0.0112397,-0.01713732,0.0,0.0,-0.02455316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0E-5,-0.02323669,-0.03082813,0.006491943,0.01490125,-0.02006565,0.0,0.0,-0.03157549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.188486E-5,-0.02642242,-0.03724709,0.009477846,0.01996476,-0.02373511,0.001069176,0.001046713,-0.04141789,0.0,0.001052427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.346266E-5,-0.02884602,-0.04224413,0.01203342,0.02406885,-0.02651474,0.001308062,0.001342732,-0.0495709,0.0,0.001329854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5E-5,-0.0310788,-0.04682774,0.01451084,0.02791211,-0.02901445,0.001538396,0.001637517,-0.05737681,0.0,0.001598569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.655814E-5,-0.0332529,-0.05121881,0.01698015,0.03164319,-0.03136902,0.00176847,0.001939196,-0.06512729,0.0,0.001866221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.793758E-5,-0.03512031,-0.05491305,0.01912032,0.03481138,-0.03332155,0.001969045,0.002207146,-0.07184882,-0.001115875,0.002098067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.962943E-5,-0.03734936,-0.05921795,0.02168072,0.03853268,-0.03556543,0.002210984,0.002535754,-0.07991463,-0.001373752,0.002375286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0E-5,-0.03782942,-0.06012968,0.0222319,0.03932469,-0.03603639,0.002263384,0.002607652,-0.08165567,-0.001432953,0.002434941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.229135E-5,-0.04073796,-0.06553596,0.02556408,0.04404918,-0.03879875,0.002582759,0.003051162,-0.09222337,-0.001818873,0.002795433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5E-5,-0.0440536,-0.07145548,0.02934122,0.04927994,-0.04176381,0.002950382,0.003572457,-0.1042974,-0.002314622,0.00320373,0.0,-0.001127918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0E-5,-0.0498648,-0.0812267,0.03589501,0.05806415,-0.04651976,0.003602692,0.004524564,-0.1255003,-0.003321667,0.003911328,0.0,-0.001605946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5E-5,-0.05532514,-0.08974098,0.04197167,0.06589933,-0.05051857,0.004223757,0.005462192,-0.1454482,-0.004420946,0.004566429,0.0,-0.002125094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
