Time (s),Volume (cm3),ethane(1),CH3(2),C2H5(3),H(4),C(6),C2H4(8),H2(12),C2H3(13),C3H7(14),C#C(25),C4H7(28),C4H6(30),C4H7(42)
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8.09E-16,1,1,9.84E-14,2.51E-16,2.51E-16,3.49E-24,2.81E-24,6.16E-24,7.99E-42,1.69E-46,1.75E-49,2.97E-74,4.58E-82,1.03E-82
9.39E-12,1,1,1.14E-09,2.91E-12,2.91E-12,3.52E-16,2.84E-16,6.22E-16,6.18E-30,1.33E-30,9.17E-34,1.69E-50,1.50E-54,3.37E-55
4.72E-10,1,0.9999999,5.74E-08,1.48E-10,1.45E-10,8.89E-13,7.22E-13,1.56E-12,1.48E-24,6.63E-24,7.97E-27,3.37E-40,8.45E-43,1.90E-43
7.60E-09,1,0.9999991,9.24E-07,2.77E-09,2.18E-09,2.31E-10,2.08E-10,3.86E-10,5.65E-20,2.87E-19,4.42E-21,4.99E-32,1.81E-33,4.05E-34
2.31E-08,1.000001,0.9999972,2.81E-06,1.04E-08,6.11E-09,2.14E-09,2.27E-09,3.34E-09,4.66E-18,1.45E-17,1.11E-18,1.16E-28,1.28E-29,2.83E-30
4.72E-08,1.000003,0.9999942,5.73E-06,2.58E-08,1.24E-08,8.91E-09,1.12E-08,1.34E-08,7.70E-17,1.66E-16,3.76E-17,1.57E-26,3.62E-27,7.77E-28
8.70E-08,1.000005,0.9999892,1.06E-05,5.88E-08,2.54E-08,3.02E-08,4.55E-08,4.71E-08,8.17E-16,1.33E-15,7.45E-16,9.61E-25,4.18E-25,8.64E-26
1.79E-07,1.000011,0.9999775,2.17E-05,1.69E-07,7.05E-08,1.28E-07,2.57E-07,2.42E-07,1.28E-14,1.60E-14,2.43E-14,1.12E-22,1.03E-22,1.96E-23
4.43E-07,1.000029,0.9999404,5.28E-05,7.31E-07,3.13E-07,7.77E-07,2.55E-06,2.37E-06,4.04E-13,3.96E-13,1.87E-12,4.24E-20,9.85E-20,1.51E-20
8.30E-07,1.000064,0.9998701,9.70E-05,2.20E-06,9.62E-07,2.72E-06,1.39E-05,1.31E-05,4.82E-12,3.99E-12,4.10E-11,2.95E-18,1.30E-17,1.56E-18
1.41E-06,1.000143,0.9997081,1.58E-04,5.67E-06,2.51E-06,7.84E-06,6.01E-05,5.77E-05,4.07E-11,2.82E-11,5.81E-10,1.12E-16,8.50E-16,7.67E-17
1.99E-06,1.000269,0.9994511,2.12E-04,1.03E-05,4.60E-06,1.56E-05,1.56E-04,1.51E-04,1.63E-10,9.82E-11,3.29E-09,1.18E-15,1.29E-14,9.27E-16
2.91E-06,1.000589,0.9988013,2.80E-04,1.91E-05,8.52E-06,3.32E-05,4.35E-04,4.23E-04,7.15E-10,3.63E-10,2.16E-08,1.46E-14,2.45E-13,1.31E-14
3.96E-06,1.001151,0.9976614,3.33E-04,2.96E-05,1.32E-05,6.06E-05,9.62E-04,9.40E-04,2.20E-09,9.57E-10,9.40E-08,1.00E-13,2.43E-12,9.87E-14
5.00E-06,1.001914,0.9961206,3.66E-04,3.91E-05,1.74E-05,9.45E-05,0.001698889,0.001663058,4.80E-09,1.86E-09,2.72E-07,3.90E-13,1.27E-11,4.10E-13
6.05E-06,1.002864,0.9942081,3.85E-04,4.72E-05,2.09E-05,1.34E-04,0.002628383,0.002575799,8.59E-09,3.02E-09,6.21E-07,1.08E-12,4.54E-11,1.20E-12
