Time (s),dln[ethane(1)]/dln[k1]: CH3(2)+CH3(2)=ethane(1),dln[ethane(1)]/dln[k2]: ethane(1)+CH3(2)=C2H5(3)+C(6),dln[ethane(1)]/dln[k3]: C2H5(3)+H(4)=ethane(1),dln[ethane(1)]/dln[k4]: CH3(2)+H(4)=C(6),dln[ethane(1)]/dln[k5]: H(4)+C2H4(8)=C2H5(3),dln[ethane(1)]/dln[k7]: C2H5(3)+C2H5(3)=ethane(1)+C2H4(8),dln[ethane(1)]/dln[k8]: ethane(1)+H(4)=C2H5(3)+H2(12),dln[ethane(1)]/dln[k9]: C2H5(3)+H(4)=C2H4(8)+H2(12),dln[ethane(1)]/dln[k10]: H(4)+C(6)=CH3(2)+H2(12),dln[ethane(1)]/dln[k14]: C(6)+C2H3(13)=CH3(2)+C2H4(8)
0,0,0,0,0,0,0,0,0,0,0
8.09E-16,0,0,0,0,0,0,0,0,0,0
9.39E-12,0,0,0,0,0,0,0,0,0,0
4.72E-10,0,0,0,0,0,0,0,0,0,0
7.60E-09,0,0,0,0,0,0,0,0,0,0
2.31E-08,0,0,0,0,0,0,0,0,0,0
4.72E-08,0,0,0,0,0,0,0,0,0,0
8.70E-08,0,0,0,0,0,0,0,0,0,0
1.79E-07,0,0,0,0,0,0,0,0,0,0
4.43E-07,0,0,0,0,0,0,0,0,0,0
8.30E-07,0,0,0,0,0,0,0,0,0,0
1.41E-06,0,0,0,0,0,0,0,0,0,0
1.99E-06,0,0,0,0,0,0,0,0,0,0
2.91E-06,0,0,0,0,0,0,0,0,0,0
3.96E-06,-0.001632843,-0.001723846,0,0,-0.001155513,0,0,0,0,0
5.00E-06,-0.002408659,-0.003016982,0,0,-0.001922567,0,-0.001442376,0,0,0
6.05E-06,-0.003179418,-0.004616396,0,0.001098996,-0.002792389,0,-0.002413923,0,0,0
6.88E-06,-0.003739475,-0.006033561,0,0.001682298,-0.003504656,0,-0.003363974,0,0,0
7.57E-06,-0.004161018,-0.007283608,0,0.002263114,-0.004095247,0,-0.004262495,0,0,0
8.26E-06,-0.004542664,-0.008585982,0,0.002925537,-0.004678694,0,-0.005252522,0,0,0
8.94E-06,-0.00488578,-0.009927222,0,0.003661383,-0.005250499,0,-0.0063241,0,0,0
9.63E-06,-0.005193418,-0.01129644,0,0.00446202,-0.005808356,0,-0.007467498,0,0,0
1.00E-05,-0.005346222,-0.01204475,0,0.004918562,-0.006103646,0,-0.008111925,0,0,0
1.24E-05,-0.006152146,-0.01693294,0,0.00817104,-0.007907454,0,-0.01261641,0,0,0
1.49E-05,-0.006774742,-0.02199969,0.001200699,0.01191389,-0.009635652,0,-0.01773255,0,0,0
1.50E-05,-0.006805907,-0.02228266,0.001236401,0.01213142,-0.009729843,0,-0.0180297,0,0,0
1.77E-05,-0.007364517,-0.02769576,0.001977976,0.01642821,-0.01151183,0,-0.02391898,0,-0.001114661,0
2.00E-05,-0.007810798,-0.03225545,0.002679531,0.0202136,-0.01300941,0,-0.0291588,0,-0.001592039,0
2.50E-05,-0.008763489,-0.04172406,0.004332554,0.02845457,-0.01619421,0,-0.04079873,0.001183669,-0.002911538,0
2.50E-05,-0.008766377,-0.04175153,0.00433772,0.02847915,-0.01620366,0,-0.04083397,0.001184925,-0.00291604,0
3.00E-05,-0.009767214,-0.05074173,0.00614614,0.03672715,-0.01937952,0.001023847,-0.05285145,0.001621784,-0.004611335,-0.001511519
3.50E-05,-0.01083135,-0.05922007,0.008079759,0.04488093,-0.02253848,0.001338954,-0.06512125,0.00208343,-0.006638467,-0.002177484
4.00E-05,-0.01196083,-0.06718719,0.01012383,0.05289614,-0.02566722,0.001679272,-0.07758116,0.002566594,-0.008956872,-0.002940577
4.50E-05,-0.01315441,-0.0746491,0.01226592,0.06074022,-0.02875092,0.002043918,-0.09017815,0.003068536,-0.01152703,-0.003788335
5.00E-05,-0.01440995,-0.08161648,0.01449422,0.06838773,-0.03177632,0.002431928,-0.1028647,0.00358668,-0.01431142,-0.004708855
5.50E-05,-0.01572489,-0.08810387,0.01679729,0.07581906,-0.03473226,0.002842224,-0.1155982,0.004118556,-0.01727499,-0.005690961
6.00E-05,-0.0170964,-0.09412873,0.01916413,0.08301962,-0.03760967,0.003273637,-0.1283405,0.004661814,-0.02038544,-0.006724297
6.50E-05,-0.01852147,-0.09971068,0.02158431,0.08997924,-0.04040144,0.003724931,-0.1410581,0.005214243,-0.02361334,-0.007799372
7.00E-05,-0.01999696,-0.1048708,0.02404805,0.09669153,-0.0431022,0.004194825,-0.1537218,0.00577379,-0.02693212,-0.008907579
7.50E-05,-0.02151967,-0.109631,0.02654629,0.1031534,-0.04570814,0.004682022,-0.1663063,0.006338563,-0.03031804,-0.01004117
