//	rate library	for	f33:	intra	hydroxyl	migration																	
//	Originally	from	rate	library.doc	by	CDW																		

// Catherine Wijaya Thesis, pg 133, 159.

//	"jing,"	define	key	word	for	format	of	the	rate:	either	Arrhenius	or	Arrhenius_EP											
Arrhenius_EP																								
//	#690	has	a	conflict	of	the	name	and	the	catogery	in	sumathy's	original	excel	"file,"	should	ask	her	about	it.	Cath	and	"Jing,"	3/7/2028
//	make	change	of	"#673,"	"#675,"	#676	according	to	sumathy's	"correction,"	"JS,"	3/8/2026												

//f25_intra_H_migration																								
//No	RnH				Y_rad_out				XH_out					Temp		A			n		Alpha	E		DA	DN	DAlpha	DE	Rank	Comments										
614		RnH				Y_rad_out				XH_out					300-1500	1.00E+10	0		0		25.00	0	0	0		0	0		default										
615		R2H_S			C_rad_out_single		Cs_H_out_2H				300-1500	5.48E+08	1.62	0		38.76	0	0	0		0	5		Currans's estimation [5] in his reaction type 5. 									
616		R2H_S			C_rad_out_single		Cs_H_out_1H				300-1500	9.59E+08	1.39	0		39.70	0	0	0		0	5		Currans's estimation [5] in his reaction type 5. 									
617		R3H_SS			C_rad_out_single		Cs_H_out_2H				300-1500	1.39E+09	0.98	0		33.76	0	0	0		0	5		Currans's estimation [5] in his reaction type 5. 									
618		R3H_SS			C_rad_out_single		Cs_H_out_1H				300-1500	1.76E+09	0.76	0		34.70	0	0	0		0	5		Currans's estimation [5] in his reaction type 5. 									
619		R4H_SSS			C_rad_out_single		Cs_H_out_2H				300-1500	2.54E+09	0.35	0		19.76	0	0	0		0	5		Currans's estimation [5] in his reaction type 5. 									
620		R4H_SSS			C_rad_out_single		Cs_H_out_1H				300-1500	3.22E+09	0.13	0		20.70	0	0	0		0	5		Currans's estimation [5] in his reaction type 5. 
621		R4H_SSS			C_rad_out_single		Cs_H_out_noH			300-1500	1.86E+10	0.58	0		26.19	0	0	0		0	5		Currans's estimation [5] in his reaction type 5. 
622		R5H_SSSS		C_rad_out_single		Cs_H_out_2H				300-1500	4.28E+11	-1.05	0		11.76	0	0	0		0	5		Currans's estimation [5] in his reaction type 5. 
623		R5H_SSSS		C_rad_out_single		Cs_H_out_1H				300-1500	1.36E+10	-0.66	0		14.28	0	0	0		0	5		Currans's estimation [5] in his reaction type 5. 
624		R4H_SSS			O_rad_out				Cs_H_out_2H				300-1500	1.00E+11	0		0		29.40	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
625		R4H_SSS			O_rad_out				Cs_H_out_1H				300-1500	1.00E+11	0		0		26.85	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
626		R4H_SSS			O_rad_out				Cs_H_out_noH			300-1500	1.00E+11	0		0		24.10	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
627		R5H_SSSS		O_rad_out				Cs_H_out_2H				300-1500	1.25E+10	0		0		24.40	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
628		R5H_SSSS		O_rad_out				Cs_H_out_1H				300-1500	1.25E+10	0		0		20.85	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
629		R5H_SSSS		O_rad_out				Cs_H_out_noH			300-1500	1.25E+10	0		0		19.10	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
630		R6H_SSSSS		O_rad_out				Cs_H_out_2H				300-1500	1.56E+09	0		0		22.35	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
631		R6H_SSSSS		O_rad_out				Cs_H_out_1H				300-1500	1.56E+09	0		0		19.05	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
632		R6H_SSSSS		O_rad_out				Cs_H_out_noH			300-1500	1.56E+09	0		0		17.05	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
633		R7H				O_rad_out				Cs_H_out_2H				300-1500	1.95E+08	0		0		25.55	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
634		R7H				O_rad_out				Cs_H_out_1H				300-1500	1.95E+08	0		0		25.55	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
635		R7H				O_rad_out				Cs_H_out_noH			300-1500	1.95E+08	0		0		25.55	0	0	0		0	5		Curran's estimstion [8] in his reaction type 12 RO2 isomerization.
636		Others-R2H_S	C_rad_out_2H			Cs_H_out_2H				300-1500	4.45E+09	1.12	0		38.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
637		Others-R2H_S	C_rad_out_H/NonDeC		Cs_H_out_2H				300-1500	8.10E+08	1.32	0		40.30	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
638		Others-R2H_S	C_rad_out_2H			Cs_H_out_H/NonDeC		300-1500	9.69E+09	0.89	0		35.80	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
639		Others-R2H_S	Others-C_rad_out_Cs2	Cs_H_out_2H				300-1500	8.12E+07	1.66	0		40.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
640		Others-R2H_S	C_rad_out_2H			Others-Cs_H_out_Cs2		300-1500	4.04E+10	0.64	0		33.90	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
641		Others-R2H_S	Others-C_rad_out_Cs2	Others-Cs_H_out_Cs2		300-1500	1.28E+10	0.97	0		38.50	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
642		Others-R2H_S	C_rad_out_H/NonDeC		Cs_H_out_H/NonDeC		300-1500	3.38E+09	0.88	0		38.00	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
643		Others-R2H_S	C_rad_out_H/NonDeC		Others-Cs_H_out_Cs2		300-1500	7.25E+10	0.6		0		36.90	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
644		Others-R2H_S	Others-C_rad_out_Cs2	Cs_H_out_H/NonDeC		300-1500	1.12E+09	1.19	0		39.00	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
645		Others-R2H_S	Cd_rad_out_double		Cs_H_out_2H				300-1500	2.44E+09	1.12	0		41.30	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
646		Others-R2H_S	C_rad_out_2H			Cd_H_out_doubleC		300-1500	2.68E+11	0.63	0		62.20	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
647		Others-R2H_S	Cd_rad_out_double		Cs_H_out_H/OneDe		300-1500	7.24E+09	0.82	0		37.50	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
648		Others-R2H_S	C_rad_out_H/OneDe		Cd_H_out_doubleC		300-1500	9.38E+10	0.71	0		62.80	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
649		Others-R2H_S	Cd_rad_out_double		Cs_H_out_OneDe			300-1500	1.67E+10	0.79	0		35.80	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
650		Others-R2H_S	C_rad_out_OneDe/Cs		Cd_H_out_doubleC		300-1500	1.03E+09	1.31	0		62.90	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
651		Others-R2H_S	C_rad_out_H/OneDe		Cs_H_out_2H				300-1500	2.06E+09	1.22	0		47.80	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
652		Others-R2H_S	C_rad_out_2H			Cs_H_out_H/OneDe		300-1500	1.41E+08	1.28	0		27.90	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
653		Others-R2H_S	C_rad_out_H/OneDe		Cs_H_out_H/NonDeC		300-1500	3.45E+10	0.75	0		45.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
654		Others-R2H_S	C_rad_out_H/NonDeC		Cs_H_out_H/OneDe		300-1500	8.41E+09	0.35	0		29.90	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
655		Others-R2H_S	C_rad_out_H/OneDe		Others-Cs_H_out_Cs2		300-1500	1.01E+12	0.33	0		42.30	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
656		Others-R2H_S	Others-C_rad_out_Cs2	Cs_H_out_H/OneDe		300-1500	1.47E+08	1.27	0		30.10	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
657		Others-R2H_S	C_rad_out_OneDe/Cs		Cs_H_out_2H				300-1500	7.69E+08	1.31	0		48.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
658		Others-R2H_S	C_rad_out_2H			Cs_H_out_OneDe			300-1500	4.89E+09	0.81	0		25.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
659		Others-R2H_S	C_rad_out_OneDe/Cs		Cs_H_out_H/NonDeC		300-1500	2.13E+10	0.77	0		46.00	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
660		Others-R2H_S	C_rad_out_H/NonDeC		Cs_H_out_OneDe			300-1500	8.83E+10	0.3		0		29.10	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
661		Others-R2H_S	C_rad_out_OneDe/Cs		Others-Cs_H_out_Cs2		300-1500	3.62E+13	-0.14	0		44.00	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
662		Others-R2H_S	Others-C_rad_out_Cs2	Cs_H_out_OneDe			300-1500	8.20E+09	0.65	0		31.40	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
663		R2H_D			Cd_rad_out_singleH		Cd_H_out_singleH		300-1500	7.28E+10	0.86	0		45.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
664		R2H_D			Cd_rad_out_singleH		Cd_H_out_singleNd		300-1500	3.24E+11	0.73	0		42.40	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
665		R2H_D			Cd_rad_out_singleNd		Cd_H_out_singleH		300-1500	1.62E+11	0.8		0		47.50	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
666		R2H_D			Cd_rad_out_singleNd		Cd_H_out_singleNd		300-1500	3.94E+11	0.69	0		44.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
667		Others-R2H_S	C_rad_out_Cs2_cy3		Cs_H_out_2H				300-1500	4.58E+09	1.08	0		40.40	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
668		Others-R2H_S	C_rad_out_2H			Cs_H_out_Cs2_cy3		300-1500	1.14E+10	0.81	0		46.10	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
669		Others-R2H_S	C_rad_out_Cs2_cy3		Cs_H_out_H/NonDeC		300-1500	6.33E+10	0.65	0		38.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
670		Others-R2H_S	C_rad_out_H/NonDeC		Cs_H_out_Cs2_cy3		300-1500	2.74E+09	0.98	0		46.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
671		Others-R2H_S	C_rad_out_Cs2_cy3		Others-Cs_H_out_Cs2		300-1500	5.90E+11	0.36	0		35.80	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
672		Others-R2H_S	Others-C_rad_out_Cs2	Cs_H_out_Cs2_cy3		300-1500	1.44E+08	1.39	0		47.20	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
673		Others-R2H_S	C_rad_out_2H			Cs_H_out_Cs2_cy4		300-1500	9.75E+09	0.98	0		36.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
674		Others-R2H_S	C_rad_out_Cs2_cy4		Cs_H_out_2H				300-1500	7.44E+08	1.2		0		41.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
675		Others-R2H_S	C_rad_out_H/NonDeC		Cs_H_out_Cs2_cy4		300-1500	5.64E+09	1		0		38.80	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations
676		Others-R2H_S	C_rad_out_Cs2_cy4		Cs_H_out_H/NonDeC		300-1500	6.56E+09	0.81	0		39.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
677		Others-R2H_S	Others-C_rad_out_Cs2	Cs_H_out_Cs2_cy4		300-1500	9.31E+08	1.21	0		38.90	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
678		Others-R2H_S	C_rad_out_Cs2_cy4		Others-Cs_H_out_Cs2		300-1500	4.86E+10	0.58	0		38.20	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
679		Others-R2H_S	C_rad_out_Cs2_cy5		Cs_H_out_2H				300-1500	1.07E+09	1.19	0		42.80	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
680		Others-R2H_S	C_rad_out_2H			Cs_H_out_Cs2_cy5		300-1500	3.35E+09	0.99	0		33.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
681		Others-R2H_S	C_rad_out_H/NonDeC		Cs_H_out_Cs2_cy5		300-1500	3.29E+09	0.89	0		36.40	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
682		Others-R2H_S	C_rad_out_Cs2_cy5		Cs_H_out_H/NonDeC		300-1500	1.08E+10	0.81	0		41.20	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
683		Others-R2H_S	Others-C_rad_out_Cs2	Cs_H_out_Cs2_cy5		300-1500	7.48E+07	1.45	0		37.40	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
684		Others-R2H_S	C_rad_out_Cs2_cy5		Others-Cs_H_out_Cs2		300-1500	1.24E+11	1.47	0		39.80	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
685		R2H_S_cy3		C_rad_out_H/NonDeC		Cs_H_out_H/NonDeC		300-1500	2.25E+11	0.6		0		44.00	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
686		R2H_S_cy3		C_rad_out_H/NonDeC		Others-Cs_H_out_Cs2		300-1500	1.72E+12	0.37	0		41.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
687		R2H_S_cy3		Others-C_rad_out_Cs2	Others-Cs_H_out_Cs2		300-1500	5.69E+11	0.51	0		43.30	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
688		R2H_S_cy4		C_rad_out_H/NonDeC		Others-Cs_H_out_Cs2		300-1500	1.56E+12	0.24	0		39.00	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
689		R2H_S_cy4		Others-C_rad_out_Cs2	Cs_H_out_H/NonDeC		300-1500	1.49E+10	0.79	0		42.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
//690.	R2H_S_cy4		C_rad_out_				Cs_H_out_				300-1500	2.38E+11	0.5		0		40.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
691		R2H_S_cy5		C_rad_out_H/NonDeC		Cs_H_out_H/NonDeC		300-1500	1.71E+11	0.61	0		41.90	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
692		R2H_S_cy5		C_rad_out_H/NonDeC		Others-Cs_H_out_Cs2		300-1500	3.72E+12	0.26	0		39.20	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
693		R2H_S_cy5		Others-C_rad_out_Cs2	Cs_H_out_H/NonDeC		300-1500	5.88E+11	0.51	0		41.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
694		Others-R3H_SS	C_rad_out_2H			Cs_H_out_2H				300-1500	5.76E+08	1.17	0		36.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
695		Others-R3H_SS	C_rad_out_2H			Cs_H_out_H/NonDeC		300-1500	5.90E+09	0.82	0		35.10	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
696		Others-R3H_SS	C_rad_out_H/NonDeC		Cs_H_out_2H				300-1500	1.19E+08	1.32	0		38.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
697		Others-R3H_SS	C_rad_out_H/NonDeC		Cs_H_out_H/NonDeC		300-1500	5.50E+08	1.01	0		36.40	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
698		Others-R3H_SS	C_rad_out_2H			Others-Cs_H_out_Cs2		300-1500	2.25E+10	0.66	0		32.90	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
699		Others-R3H_SS	Others-C_rad_out_Cs2	Cs_H_out_2H				300-1500	3.89E+06	1.77	0		37.90	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
700		Others-R3H_SS	C_rad_out_H/NonDeC		Others-Cs_H_out_Cs2		300-1500	7.27E+09	0.66	0		34.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
701		Others-R3H_SS	Others-C_rad_out_Cs2	Cs_H_out_H/NonDeC		300-1500	1.71E+07	1.41	0		36.10	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
702		Others-R3H_SS	Others-C_rad_out_Cs2	Others-Cs_H_out_Cs2		300-1500	6.78E+08	1		0		35.30	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
703		R3H_DS			Cd_rad_out_singleH		Cs_H_out_2H				300-1500	5.10E+09	0.97	0		37.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
704		R3H_SD			C_rad_out_2H			Cd_H_out_singleH		300-1500	2.11E+11	0.58	0		38.30	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
705		R3H_DS			Cd_rad_out_singleH		Cs_H_out_H/NonDeC		300-1500	9.23E+09	0.74	0		34.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations
706		R3H_SD			C_rad_out_H/NonDeC		Cd_H_out_singleH		300-1500	4.16E+10	0.77	0		64.10	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
707		R3H_DS			Cd_rad_out_singleH		Others-Cs_H_out_Cs2		300-1500	6.04E+10	0.59	0		32.50	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
708		R3H_SD			Others-C_rad_out_Cs2	Cd_H_out_singleH		300-1500	8.53E+08	1.27	0		63.90	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
709		R3H_DS			Cd_rad_out_singleNd		Cs_H_out_2H				300-1500	2.58E+09	1.08	0		38.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
710		R3H_SD			C_rad_out_2H			Cd_H_out_singleNd		300-1500	1.91E+11	0.63	0		61.00	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
711		R3H_DS			Cd_rad_out_singleNd		Cs_H_out_H/NonDeC		300-1500	5.91E+09	0.86	0		35.70	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
712		R3H_SD			C_rad_out_H/NonDeC		Cd_H_out_singleNd		300-1500	3.96E+10	0.83	0		61.60	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
713		R3H_DS			Cd_rad_out_singleNd		Others-Cs_H_out_Cs2		300-1500	8.05E+09	0.86	0		33.40	0	0	0		0	2		Sumathy B3LYP/CCPVDZ calculations 
