
// rate library for f09a: Disproportionation reaction
// original from rate_library_4.txt, Cath, 03/07/28

// JS, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

// f09a_Disproportionation
// changing root number into 3e11, 0, 0 according to Wing Tsang . J. Phys. Chem. Ref. Data 1991, 20, 221-273, JS, july 27, 2003
// add 10001 to give HO2. + R. -> O2 + HR, JS, july 27, 2003

// JS, Aug, 5, 2003
// move the following rate constants of O2 + XH_Rrad into the new reaction family: Disproportionation_O2d
// move #: 487, 501, 513, 514, 533, 534, 535

// Catherina Wijaya thesis, pg 157

// [90] Tsang, W. J. Phys. Chem. Ref. Data 1987, 16, 471.
// [91] Tsang, W. J. Phys. Chem. Ref. Data 1988, 17, 887.
// [92] Tsang, W. J. Phys. Chem. Ref. Data 1990, 19, 1.
// [93] Tsang, W. J. Phys. Chem. Ref. Data 1991, 20, 221.
// [95] Baulch, D.L.; Cobos, C.J.; Cox, R.A.; Esser, C.; Frank, P.; Just, T.; Kerr, J.A.; Pilling, M.J.; 
//		Troe, J.; Walker, R.W.; Warnatz, J. J. Phys. Chem. Ref. Data 1992, 21, 411.
// [189] Grotheer, H.; Riekert, G.; Walter, D.; Just, T. Symp. Int. Combust. Proc. 1989, 22, 963.
// [190] Edelbuttel-Einhaus, J.; Hoyermann, K.; Rohde, G.; Seeba, J. Symp. Int. Combust. Proc. 1992, 22, 661.
// [191] Pagsberg, P.; Munk, J.; Sillesen, A.; Anastasi, C. Chem. Phys. Lett. 1988, 146, 375.

 
//No.		Y_rad_birad		XH_Rrad				Temp.		A			n		a		E0		DA		Dn		Da		DE0		Rank	Comments
//491.		C_methyl		Cmethyl_Csrad		300-2500	9.41E+10	0.68	0		0		*1.5	0		0		0		4		Tsang [91] Literature review.
//514.		CH2_triplet		C/H/NdNd_Csrad		300-2500	6.03E+12	0		0		0		*3.0	0		0		0		4		Tsang [92] Literature review. C2H + iso-C4H9--> C2H2 + iso-C4H8


//#  Group1             Group2                TempRange         A        n    alpha       E0       DA       Dn   Dalpha      DE0  Rank  Comment
0    Y_rad_birad          XH_Rrad                300-1500     3e+11        0        0        0        0        0        0        0  0     Default
1    CH2_triplet          Cmethyl_Csrad          300-2500  3.01e+13        0        0        0       *2        0        0        0  4     Tsang [91] Literature review.
2    H_rad                Cmethyl_Csrad          300-2500  3.61e+12        0        0        0       *2        0        0        0  4     Tsang [91] Literature review.
3    H_rad                Cmethyl_Csrad          300-2500  1.81e+12        0        0        0       *3        0        0        0  4     Tsang [89] Literature review.
4    C_methyl             Cmethyl_Csrad          300-2500  2.19e+14    -0.68        0        0     *1.1        0        0        0  4     Tsang [91] Literature review.
5    C_rad/H2/Cs          Cmethyl_Csrad          300-2500   2.3e+13    -0.35        0        0     *1.1        0        0        0  4     Tsang [91] Literature review.
6    C_rad/H2/Cd          Cmethyl_Csrad          300-2500  2.29e+13    -0.35        0    -0.13       *3        0        0        0  4     Tsang [93] Literature review.
7    C_rad/H2/O           Cmethyl_Csrad          300-2500  2.89e+12        0        0        0       *5        0        0        0  4     Tsang [91] Literature review.
8    C_rad/H/NonDeC       Cmethyl_Csrad          300-2500  2.11e+14     -0.7        0        0       *2        0        0        0  4     Tsang [91] Literature review.
9    C_rad/Cs3            Cmethyl_Csrad          300-2500  2.86e+15     -1.1        0        0     *1.7        0        0        0  4     Tsang [92] Literature review.
10   Cd_pri_rad           Cmethyl_Csrad          300-2500  1.52e+14     -0.7        0        0     *1.5        0        0        0  4     Tsang [91] Literature review.
11   Ct_rad               Cmethyl_Csrad          300-2500  3.61e+12        0        0        0       *2        0        0        0  4     Tsang [91] Literature review.
12   O_pri_rad            Cmethyl_Csrad          300-2500  2.41e+13        0        0        0       *3        0        0        0  4     Tsang [91] Literature review.
13   H_rad                Cmethyl_Orad           300-1000  1.81e+13        0        0        0    *3.16        0        0        0  4     Baulch et al [95] literature review.
14   CH2_triplet          C/H2/Nd_Csrad          300-2500  1.81e+12        0        0        0       *5        0        0        0  4     Tsang [91] Literature review.
