
// rate library for f01: HAbstraction reaction
// original from rate library.txt, CDW 03/08/01
// SR and JS rename some nodes according to the tree and dictionary correction, Nov., 20, 2002
// JS, comment out 10th, change XH in 23 from C/Cd/H3 to C/H3/Cd
// JS, remove CO_birad to form a new family later: CO + RH -> HCO + R.  Aug, 26, 2003

// JS, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

// Catherina Wijaya thesis, pg 151 -154.

//f01_intermolecular_HA
//No.	XH			Y_rad				Temp.		A			n		a		E0		DA		Dn		Da		DE0		Rank	Comments
//142.	C/H3/Cs		O_pri_rad			300-1500	2.92E+06	1.80	0		0.278	0		0		0		0		5		Curran et al. [8] Rate expressions for H atom abstraction from fuels. (changed to per H)	
//208.	Cd_pri		CO_birad			300-2500	3.78E+13	0		0		90.62	*5.0	0		0		0		4		Tsang [89] literature review.
//213.	Cd/H/NonDeC	H_rad				300-2500	2.37E+00	0		0		7.31	*5.0	0		0		0		4		Tsang [93] literature review.
//214.	Cd/H/NonDeC	C_methyl			300-2500	3.8E-01		0		0		5.98	*100.0	0		0		0		4		Tsang [93] literature review.
//215.	Cd/H/NonDeC	Cd_pri_rad			300-2500	3.8E-01		0		0		4.99	*10.0	0		0		0		4		Tsang [93] literature review.
//217.	Cd/H/NonDeC	O_pri_rad			300-2500	1.11E+06	2.00	0		1.45	0		0		0		0		4		Tsang [93] literature review.
//219.	Ct_H		CO_birad			300-2500	2.41E+14	0		0		107		*10.0	0		0		0		4		Tsang [89] literature review.
//245.	CO/H/NonDe	O_pri_rad			295-600		2.0E+06		1.80	0		1.30	0		0		0		0		3		Taylor et al. [127] Transition state theory.
//257.	O_pri		O_pri_rad			200-700		6.45E-06	5.01	0		0.61	0		0		0		0		3		Masgrau et al. [141] Transition state theory w/tunneling correction.
//263.	O/H/NonDeC	C_rad/H/NonDeC		300-2500	1.45E+01	3.10	0		10.33	*5.0	0		0		0		4		Tsang [90] literature review.
//264.	O/H/NonDeC	C_rad/Cs3			300-2500	1.51E+03	1.80	0		9.36	*10.0	0		0		0		4		Tsang [90] literature review.
// (Reverse) Rates for nButanol+HO2=H2O2+radicals
// (Reverse) Rates for sButanol+HO2=H2O2+radicals
// (Reverse) Rates for tButanol+HO2=H2O2+radicals


//#  Group1             Group2                TempRange         A        n    alpha       E0       DA       Dn   Dalpha      DE0  Rank  Comment
0    X_H_or_Xrad_H        Y_rad_birad            300-1500     1e+05        0        0       10        0        0        0        0  0     Default
1    X_H                  Y_rad_birad            300-1500     1e+05        0        0       10        0        0        0        0  0     Default
2    X_H                  H_rad                  300-1500   2.4e+08      1.5     0.65      9.4        0        0        0        0  5     Dean, A. M. [118]
3    X_H                  O_atom_triplet         300-1500   1.7e+08      1.5     0.75      6.6        0        0        0        0  5     Dean, A. M. [118]
4    X_H                  O_pri_rad              300-1500   1.2e+06        2      0.5     10.1        0        0        0        0  5     Dean, A. M. [118]
5    X_H                  O_sec_rad              300-1500   1.4e+04     2.69      0.6     11.3        0        0        0        0  5     Dean, A. M. [118]
6    X_H                  C_methyl               300-1500   8.1e+05     1.87     0.65       13        0        0        0        0  5     Dean, A. M. [118]
7    C/H/Cs3              C_rad/Cs3              300-1500      0.13     3.71        0     6.85        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
8    C/H2/NonDeC          C_rad/Cs3              300-1500      1.26     3.55        0     8.31        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
9    C/H3/Cs              C_rad/Cs3              300-1500      2.85     3.62        0     11.2        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
10   C/H/Cs3              C_rad/H/NonDeC         300-1500      55.8     3.01        0     7.34        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
11   C/H2/NonDeC          C_rad/H/NonDeC         300-1500      15.2     3.19        0     10.3        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
12   C/H3/Cs              C_rad/H/NonDeC         300-1500      47.1     3.23        0     12.3        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
13   C/H/Cs3              C_rad/H2/Cs            300-1500  4.22e+03     2.51        0     8.06        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
14   C/H2/NonDeC          C_rad/H2/Cs            300-1500  1.54e+03     2.66        0     10.1        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
15   C/H3/Cs              C_rad/H2/Cs            300-1500       659     2.71        0     12.9        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
16   C/H/Cs3              C_methyl               300-1500  5.74e+05     1.83        0     6.94        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
17   C/H2/NonDeC          C_methyl               300-1500  1.45e+06     1.77        0     8.53        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
18   C/H3/Cs              C_methyl               300-1500  2.78e+05      1.9        0     11.1        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
19   C_methane            C_methyl               300-1500  1.01e+04     2.47        0       14        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
20   C/H/Cs3              H_rad                  300-1500  4.83e+08     1.54        0     2.98        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
21   C/H2/NonDeC          H_rad                  300-1500   1.3e+08     1.69        0     4.78        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
22   C/H3/Cs              H_rad                  300-1500  6.28e+07     1.75        0     7.51        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
23   C_methane            H_rad                  300-1500  3.06e+07     1.87        0     10.6        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
24   O/H/NonDeC           H_rad                  300-1500   8.7e+08     1.39        0     10.1        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
25   CO_pri               H_rad                  300-1500  5.48e+07     1.82        0     2.44        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
26   CO/H/NonDe           H_rad                  300-1500  8.07e+07     1.76        0     0.67        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
27   Cd_pri               H_rad                  300-1500  2.53e+07     1.98        0     11.8        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Primary vinylic {Cd/H2}
28   Cd_pri               H_rad                  300-1500  4.53e+03     2.43        0     8.85        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Ketene hydrogen {CCO/H2}
29   Cd_pri               H_rad                  300-1500  1.46e+07     2.09        0     5.49        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Allene hydrogen {Cd/H2/Ca}
30   Cd/H/NonDeC          H_rad                  300-1500  2.98e+07     1.95        0     8.65        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
31   C/H3/Cd              H_rad                  300-1500  4.33e+05     2.38        0      2.8        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
32   C/H2/OneDeC          H_rad                  300-1500  6.99e+05     2.36        0     1.11        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Primary allylic hydrogen {C/Cd/C/H2}
33   C/H2/OneDeC          H_rad                  300-1500  7.79e+07     1.78        0     2.11        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Primary propergylic {C/Ct/C/H2}
34   C/H/Cs2              H_rad                  300-1500  3.02e+06     2.16        0    -0.45        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Secondary allylic hydrogen {C/Cd/C2/H}
35   C/H/Cs2              H_rad                  300-1500  1.21e+08     1.72        0    -0.73        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Secondary propergylic {C/Ct/C2/H}
36   C/H2/TwoDe           H_rad                  300-1500  7.09e+03     2.85        0     -1.9        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
37   Cd/H/OneDe           H_rad                  300-1500  1.93e+08     1.74        0     10.3        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Dienylic {Cd/Cd/H}
38   Cd/H/OneDe           H_rad                  300-1500  2.18e+06      2.4        0     6.11        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Eneynic {Cd/Ct/H}
39   Ct_H                 H_rad                  300-1500  1.65e+08     1.85        0     26.5        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
40   C/H3/Ct              H_rad                  300-1500   2.7e+07     1.91        0     5.99        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
41   Cd/H/NonDeO          H_rad                  300-1500  9.67e+09     1.23        0     11.7        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
42   O/H/OneDe            H_rad                  300-1500   1.3e+11     0.82        0     7.75        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
43   Cd_pri               C_methyl               300-1500  3.24e+03     2.58        0       14        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
44   C/H3/Cd              C_methyl               300-1500      80.4     2.92        0     7.16        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
45   O/H/NonDeC           C_methyl               300-1500  2.54e+05     1.89        0     8.97        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
46   CO/H/NonDe           C_methyl               300-1500  2.92e+04     2.29        0     5.44        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
47   O/H/OneDe            C_methyl               300-1500  9.07e+04     2.04        0     10.8        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Olefinic alcohol {O/Cd/H}
48   O/H/OneDe            H_rad                  300-1500   3.3e+08     1.56        0     13.9        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom. Acid O-H {O/CO/H}
49   CO/H/NonDe           C_methyl               300-1500  4.53e+03     2.43        0     8.85        0        0        0        0  2     Sumathy CBS-Q calculations. Rate expression per H atom.
50   C_methane            C_methyl               300-1500  6.03e+13        0        0       19        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
51   C/H3/Cs              C_methyl               300-1500   2.8e+14        0        0     16.1        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
52   C/H3/Cs              C_methyl               300-1500  6.15e+13        0        0     15.9        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
53   C/H3/Cs              C_methyl               300-1500  7.71e+12        0        0     13.5        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
54   C/H2/NonDeC          C_methyl               300-1500  5.02e+13        0        0     13.7        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
55   C/H/Cs3              C_methyl               300-1500  5.02e+13        0        0     11.3        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
56   C/H/Cs3              C_methyl               300-1500  4.42e+13        0        0     11.3        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
57   C/H3/Cd              C_methyl               300-1500  2.62e+13        0        0     12.3        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
58   C/H2/OneDeC          C_methyl               300-1500  2.73e+13        0        0     10.4        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
59   C/H/Cs2              C_methyl               300-1500  2.73e+13        0        0      8.9        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
60   C/H2/TwoDe           C_methyl               300-1500  7.54e+13        0        0      8.1        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
61   C/H/Cs               C_methyl               300-1500  9.32e+12        0        0        7        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
62   C/H3/Cb              C_methyl               300-1500   4.9e+12        0        0     13.1        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
63   C/H2/OneDeC          C_methyl               300-1500   1.7e+13        0        0     11.8        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
64   C/H/Cs2              C_methyl               300-1500  1.17e+13        0        0       11        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
65   C/H3/Ct              C_methyl               300-1500   6.6e+13        0        0     13.1        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
66   C/H2/OneDeC          C_methyl               300-1500  2.81e+13        0        0       11        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
67   C/H2/TwoDe           C_methyl               300-1500  1.38e+14        0        0      8.5        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
68   C/H/Cs               C_methyl               300-1500  3.43e+13        0        0      7.1        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
69   C/H/Cs2              C_methyl               300-1500  5.03e+13        0        0      9.1        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
70   Cd_pri               C_methyl               300-1500  1.88e+14        0        0     18.6        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
71   Cd/H/NonDeC          C_methyl               300-1500  4.43e+13        0        0     16.3        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
72   Cd/H/OneDe           C_methyl               300-1500  5.78e+13        0        0     16.2        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
73   Cd/H/OneDe           C_methyl               300-1500  2.26e+13        0        0     15.9        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
74   Cd/H/OneDe           C_methyl               300-1500  4.37e+13        0        0     13.7        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
75   Ct_H                 C_methyl               300-1500  3.33e+18        0        0       28        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
76   Cb_H                 C_methyl               300-1500  1.17e+15        0        0     19.9        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
77   C/H2/NonDeC          C_methyl               300-1500  9.87e+14        0        0     13.5        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
78   C/H2/NonDeC          C_methyl               300-1500  4.51e+12        0        0     12.6        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
79   C/H/Cs3              C_methyl               300-1500  2.46e+13        0        0       11        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
80   C/H2/OneDeC          C_methyl               300-1500  5.98e+13        0        0      9.6        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
81   C_methane            H_rad                  300-1500  1.87e+14        0        0     14.2        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
82   C_methane            C_methyl               300-1500  6.03e+13        0        0       19        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
83   C_methane            C_rad/H2/Cd            300-1500  1.53e+14        0        0     30.6        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
84   C_methane            Cd_pri_rad             300-1500  1.59e+14        0        0     13.7        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
85   C_methane            C_rad/Cs3              300-1500  1.86e+13        0        0     20.2        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
86   C/H/Cs3              H_rad                  300-1500  5.31e+13        0        0      5.9        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
87   C/H/Cs3              C_methyl               300-1500  5.02e+13        0        0     11.3        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
88   C/H/Cs3              C_rad/H2/Cd            300-1500  5.02e+13        0        0     20.5        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
89   C/H/Cs3              Cd_pri_rad             300-1500  8.95e+13        0        0      6.2        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
90   C/H/Cs3              C_rad/Cs3              300-1500  5.43e+11        0        0     11.6        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
91   C/H/Cs3              C_rad/H2/Cs            300-1500  3.03e+12        0        0     12.2        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
92   C/H/Cs3              C_rad/H/NonDeC         300-1500  2.44e+12        0        0     12.3        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
93   C/H/Cs3              C_rad/H/OneDeC         300-1500  5.46e+12        0        0     21.7        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
94   C/H/Cs3              C_rad/Cs2              300-1500   1.1e+12        0        0     21.6        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
95   C/H/Cs3              Cd_rad/NonDeC          300-1500  1.02e+11        0        0      5.3        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
96   C/H/Cs3              Cd_rad/OneDe           300-1500  4.16e+12        0        0     13.2        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
97   C/H/Cs3              C_rad/H2/Ct            300-1500  3.14e+13        0        0       17        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
98   C/H/Cs3              C_rad/H/OneDeC         300-1500  2.53e+12        0        0       18        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
99   C/H/Cs3              C_rad/Cs2              300-1500  9.78e+11        0        0     18.4        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
100  Cd_pri               H_rad                  300-1500  3.39e+14        0        0     15.3        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
101  Cd_pri               C_methyl               300-1500  1.88e+14        0        0     18.6        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
102  Cd_pri               C_rad/H2/Cd            300-1500  5.36e+13        0        0     30.7        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
103  Cd_pri               Cd_pri_rad             300-1500  1.47e+13        0        0     13.1        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
104  Cd_pri               C_rad/Cs3              300-1500  3.93e+13        0        0     20.1        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
105  Cd_pri               C_rad/H2/Cs            300-1500  7.82e+12        0        0     19.7        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
106  Cd_pri               C_rad/H/NonDeC         300-1500  3.25e+12        0        0     20.2        0        0        0        0  3     Mark Saeys, CBS-QB3 calculations, without hindered rotor treatment. Rate expression per H atom.
