
// rate library for f02: Radical addition to multiple bond
// original from rate_library_4.txt, Cath, 03/07/28

// JS, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

//f02_Radical_Addition
//No.		XZ				Y_rad			Temp.		A			N		a	E0		DA		Dn		Da	DE0		Rank	Comments
//277.		O2d				Ct_rad			300-1500	3.0E+12		0		0	0		0		0		0	0		0		estimated to be the same as Cd_pri_rad + O2.
//416 Added by sandeep taken from the stufy of 1,3-Hexadiene dont at CBS-QB3 level


//#  Group1             Group2                TempRange         A        n    alpha       E0       DA       Dn   Dalpha      DE0  Rank  Comment
0    XZ                   Y_rad_birad            300-1500     1e+13        0        0      0.5        0        0        0        0  0     Default
1    O2d                  H_rad                  298-6000   4.4e+10        1        0     0.45        0        0        0        0  4     Duchovic et al. [142] RRK(M) extrapolation. Probably could do better.
2    O2d                  H_rad                  300-1500  8.15e+12        0        0     0.76        0        0        0        0  3     Cobos, C.J and Troe, J. [106] Transition state theory.
3    O2d                  C_methyl               300-1500  2.26e+12        0        0        0  4.2e+11        0        0        0  5     Curran et al. [8] From Lenhardt et al. [143]. (Measured at 300K) (n-butyl not methyl)
4    O2d                  C_pri_rad              300-1500  2.26e+12        0        0        0  4.2e+11        0        0        0  5     Curran et al. [8] From Lenhardt et al. [143]. (Measured at 300K)
5    O2d                  C_sec_rad              300-1500  3.77e+12        0        0        0    1e+12        0        0        0  5     Curran et al. [8]. (Estimated at 300K)
6    O2d                  C_ter_rad              300-1500  7.05e+12        0        0        0 1.17e+12        0        0        0  5     Curran et al. [8] From Lenhardt et al. [143]. (Measured at 300K)
7    O2d                  Cd_pri_rad             300-1500     3e+12        0        0        0        0        0        0        0  4     Bozzelli et al. [144] RRKM extrapolation ( adjusted to match data).
8    O2d                  Cb_rad                 297-473   3.02e+12        0        0     0.32     *1.2        0        0     0.13  3     Yu, T. and Lin, M.C. [145]
9    O2d                  CO_pri_rad             300-2500   3.5e+12        0        0        0        0        0        0        0  4     Bozzelli et al. [144] RRKM extrapolation.
