////////////////////////////////////////////////////////////////////////////////
//
// REACTION FAMILIES USED BY RMG
//
// Created 1 Jun 2009 by Josh Allen (jwallen@mit.edu)
//
// Notes:
//
// The name of each forward reaction should match up with a folder
// in this directory containing the dictionary, tree, library, and adjusts
// for that family.
//
// Families can be deactivated by simply changing the "on/off" column to off.
//
////////////////////////////////////////////////////////////////////////////////

// No.  on/off  Forward reaction                     
1       on      Cyclic_Ether_Formation
2       on      intra_OH_migration
3       on      H_Abstraction
4       on      R_Addition_MultipleBond
5       on      R_Recombination
6       on      Disproportionation
7       on      1,2_Insertion
8       on      1,3_Insertion_CO2
9       on      1,3_Insertion_ROR
10      on      1+2_Cycloaddition
11      on      2+2_cycloaddition_Cd
12      on      2+2_cycloaddition_CO
13      on      2+2_cycloaddition_CCO
14      on      Diels_alder_addition
15      on      intra_H_migration
16      on      HO2_Elimination_from_PeroxyRadical
17      on      Birad_recombination
18      on      Oa_R_Recombination
19      on      R_Addition_COm
20      on      Intra_R_Add_Exocyclic
21      on      Intra_R_Add_Endocyclic
22      on      1,2-Birad_to_alkene
