// nonring_Library.txt file for $RMG/databases/RMG_database/transport_groups
// 12/May/2010
// MRH (mrharper@mit.edu)

// FunctionalGroup	Tc		Pc		Vc	Tb		StructureIndex
CsH3R				0.0141	-0.0012	65	23.58	1
CsH2R2				0.0189	0		56	22.88	1
CsHR3				0.0164	0.0020	41	21.74	1
CsR4				0.0067	0.0043	27	18.25	1
CdH2R				0.0113	-0.0028	56	18.18	1
CdHR2				0.0129	-0.0006	46	24.96	1
CdR3				0.0117	0.0011	38	24.14	1
CddR2				0.0026	0.0028	36	26.15	0
CtHR				0.0027	-0.0008	46	9.20	0
CtR2				0.0020	0.0016	37	27.38	0

Alcohol				0.0741	0.0112	28	92.88	1
Phenol				0.0240	0.0184	-25	76.34	1
Ether				0.0168	0.0015	18	22.42	1
Ketone_Ccentered	0.0380	0.0031	62	76.75	1
Ketone_Ocentered	0		0		0	0		1
Aldehyde_Ccentered	0.0379	0.0030	82	72.24	1
Aldehyde_Ocentered	0		0		0	0		1
Acid_Ccentered		0.0791	0.0077	89	169.09	1
Acid_Ocentered1		0		0		0	0		1
Acid_Ocentered2		0		0		0	0		1
Ester_Ccentered		0.0481	0.0005	82	81.10	1
Ester_Ocentered1	0		0		0	0		1
Ester_Ocentered2	0		0		0	0		1
Od					0.0143	0.0101	36	-10.50	0

Thiol				0.0031	0.0084	63	63.56	1
Thioether			0.0119	0.0049	54	68.78	1
